benchmark,seed,run_type,configured_generations,actual_generations,history_rows,converged,elapsed_min,cost_baseline,cost_b2,cost_delta_pct,tmax_baseline_C,tmax_b2_C,tmax_delta_C,sigma_baseline_K,sigma_b2_K,sigma_delta_pct,hot_baseline,hot_b2,hot_delta,dvfs_baseline_pct,dvfs_b2_pct,dvfs_delta_pctpt,makespan_baseline_us,makespan_b2_us,makespan_delta_pct,comm_baseline,comm_b2,comm_delta_pct,congestion_baseline,congestion_b2,congestion_delta_pct,load_baseline,load_b2,load_delta_pct,pe_optical_energy_baseline_mJ,pe_optical_energy_b2_mJ,pe_optical_energy_delta_pct,optical_margin_baseline_dB,optical_margin_b2_dB,optical_margin_delta_dB,optical_ber_baseline,optical_ber_b2,optical_tuning_baseline_mW,optical_tuning_b2_mW,optical_tuning_delta_pct,history_avg_inf_gens,history_worst_inf_gens,history_best_inf_gens,valid,validity_notes
VOPD,46,base,60,27,27,True,11.273162304998065,5.0,4.446714704298548,-11.065705914029033,52.22271921261,52.275004732920024,0.05228552031002209,0.9870939912641029,0.9217627782721624,-6.61854023731574,0,0,0,0.0,0.0,0.0,89.3329,87.7029,-1.8246357165165317,1396000.0,924000.0,-33.810888252149,252000.0,78000.0,-69.04761904761905,0.35802469135802467,0.6323731138545954,76.62835249042148,0.7507385223064373,0.7400433229376454,-1.4246237606049483,-6.7540341665474,-6.7540413510117,-7.184464299925253e-06,0.06538049161693,0.065482870965386,16.127688148597,12.189541048313,-24.418546936168227,21,21,0,True,
HNN,46,base,60,60,60,False,2.2611870816598336,6.000000000000001,4.982882635915508,-16.95195606807488,55.66757624162,56.14919799997,0.481621758350002,2.454372247071413,1.614644765235826,-34.21353394284669,16,9,-7,11.14198573637825,4.01606118536325,-7.125924551015001,203.177525,220.1926,8.374486794245573,2195456.0,1671168.0,-23.880597014925375,163840.0,106496.0,-35.0,0.3028095733610822,0.38189386056191466,26.116838487972505,4.651317011228462,4.520959952843556,-2.802583828842875,-6.7542238179251,-6.7539956427788,0.00022817514630002478,0.083163844976119,0.083180281906123,57.610724317951,46.942084069016,-18.51849699034377,0,0,0,True,
GEMM,47,base,60,55,55,True,1.2514717049896718,6.000000000000001,3.8192535762656448,-36.345773728905925,54.93421735578005,53.23242899570005,-1.701788360080002,2.1434761400252804,1.3883834265550827,-35.227483962629606,6,0,-6,1.8350526805555563,0.0,-1.8350526805555563,120.405,116.76089999999999,-3.026535442880285,104448.0,69632.0,-33.333333333333336,22528.0,8192.0,-63.63636363636363,0.9202539178734378,0.8059908748264233,-12.416469066609181,1.5708734939939561,1.5167518392859631,-3.445322294565445,-6.7540627757353,-2.2420365966913,4.512026179044,0.11245067850978,0.065912856775962,51.554489738666,30.504437635727,-40.83068654086863,0,0,0,True,
MPEG4,47,base,60,58,58,True,1.3554000983325143,6.000000000000001,4.083388623951365,-31.94352293414393,54.44663874680003,51.89987704372004,-2.5467617030799943,1.3003837749577485,1.0272632400600779,-21.0030715668184,2,0,-2,0.07168423611111063,0.0,-0.07168423611111063,122.06989999999999,121.77759999999999,-0.23945296915947045,420000.0,304000.0,-27.61904761904762,88000.0,32000.0,-63.63636363636363,0.5670623064060744,0.9179298813080782,61.87460724126264,1.1328804365769536,1.128504756548051,-0.38624376303326713,-6.7540105634287,-2.5778788435822,4.1761317198465004,0.073143223754916,0.074442907791988,24.890988958734,13.351783649047,-46.358966808500426,0,0,0,True,
VOPD,47,base,60,50,50,True,19.464161368335287,5.0,4.473743433386786,-10.525131332264282,52.22271921261,52.202270997460005,-0.020448215149997395,0.9870939912641029,0.9350136422126879,-5.276128667820101,0,0,0,0.0,0.0,0.0,89.3329,87.3008,-2.2747498402044486,1396000.0,1080000.0,-22.636103151862464,252000.0,128000.0,-49.20634920634921,0.35802469135802467,0.35802469135802467,0.0,0.7507385223064373,0.7381586547046212,-1.6756656582864626,-6.7540341665474,-6.7540236708831,1.0495664299448038e-05,0.06538049161693,0.065673448420098,16.127688148597,12.694695199553,-21.28633017586372,41,41,0,True,
HNN,47,base,60,28,28,True,1.0681730616682519,6.000000000000001,5.038941886660901,-16.01763522231834,55.66757624162,55.43997479507004,-0.2276014465499543,2.454372247071413,1.664449978530488,-32.184289464789614,16,5,-11,11.14198573637825,1.3007407868589813,-9.84124494951927,203.177525,238.1106,17.193375596045858,2195456.0,1736704.0,-20.895522388059707,163840.0,131072.0,-19.999999999999996,0.3028095733610822,0.5775234131113424,90.72164948453607,4.651317011228462,4.500074509431657,-3.2516059737854763,-6.7542238179251,-6.7536998265593,0.0005239913657995032,0.083163844976119,0.16496224496494,57.610724317951,41.50314569542,-27.959340579774683,0,0,0,True,
GEMM,48,base,60,60,60,False,1.3794428683351725,6.000000000000001,3.7259784989639666,-37.90035835060056,54.93421735578005,52.920489494440005,-2.013727861340044,2.1434761400252804,1.3334026497899885,-37.7925125971189,6,0,-6,1.8350526805555563,0.0,-1.8350526805555563,120.405,116.6966,-3.0799385407582758,104448.0,60416.0,-42.15686274509803,22528.0,8192.0,-63.63636363636363,0.9202539178734378,0.8059908748264233,-12.416469066609181,1.5708734939939561,1.5158428528834058,-3.5031873235466415,-6.7540627757353,-2.2445591141785,4.5095036615568,0.11245067850978,0.065929048744281,51.554489738666,17.210179950116,-66.61749531931005,0,0,0,True,
MPEG4,48,base,60,26,26,True,0.6095595866596947,6.000000000000001,4.188175475521553,-30.19707540797413,54.44663874680003,52.757701079560036,-1.6889376672399976,1.3003837749577485,1.113916048654285,-14.339438087000289,2,0,-2,0.07168423611111063,0.0,-0.07168423611111063,122.06989999999999,121.3202,-0.6141563153570173,420000.0,296000.0,-29.52380952380952,88000.0,28000.0,-68.18181818181819,0.5670623064060744,0.8960006578767029,58.007444288683715,1.1328804365769536,1.1262643335165439,-0.584007177350554,-6.7540105634287,-2.1664294461914,4.5875811172373,0.073143223754916,0.065432060600127,24.890988958734,20.624985355237,-17.138746919897287,0,0,0,True,
VOPD,48,base,60,48,48,True,12.445215331669896,5.0,4.3470398343814445,-13.059203312371114,52.22271921261,52.34654406093,0.12382484831999818,0.9870939912641029,0.9659049869487715,-2.1466045283282664,0,0,0,0.0,0.0,0.0,89.3329,87.3487,-2.2211301771239977,1396000.0,1000000.0,-28.36676217765043,252000.0,72000.0,-71.42857142857143,0.35802469135802467,0.35802469135802467,0.0,0.7507385223064373,0.7379499787168916,-1.7034617526028195,-6.7540341665474,-6.7540294949848,4.6715625998672294e-06,0.06538049161693,0.065467515905529,16.127688148597,13.50319899002,-16.273188905908455,27,27,0,True,
HNN,48,base,60,46,46,True,1.7692585999922206,6.000000000000001,4.878621881488557,-18.689635308524068,55.66757624162,54.83583567473005,-0.8317405668899482,2.454372247071413,1.6381491854504802,-33.2558788747249,16,2,-14,11.14198573637825,0.39769316666666665,-10.744292569711584,203.177525,232.7646,14.562179059913237,2195456.0,1622016.0,-26.119402985074625,163840.0,131072.0,-19.999999999999996,0.3028095733610822,0.7502601456815817,147.766323024055,4.651317011228462,4.410111203904614,-5.185752911305929,-6.7542238179251,-6.7541365559721,8.726195299946227e-05,0.083163844976119,0.18469713466145,57.610724317951,43.13944817895,-25.119066476468298,0,0,0,True,
GEMM,49,base,60,60,60,False,1.3653663100053868,6.000000000000001,3.7786313870473434,-37.02281021587762,54.93421735578005,53.01589468322004,-1.9183226725600093,2.1434761400252804,1.3411140195986384,-37.43275259491243,6,0,-6,1.8350526805555563,0.0,-1.8350526805555563,120.405,116.71260000000001,-3.0666500560607934,104448.0,70656.0,-32.35294117647059,22528.0,8192.0,-63.63636363636363,0.9202539178734378,0.8059908748264233,-12.416469066609181,1.5708734939939561,1.5160830251470978,-3.487898233456932,-6.7540627757353,-2.2605666955395,4.493496080195801,0.11245067850978,0.066031899910132,51.554489738666,21.540389263259,-58.21820878753912,0,0,0,True,
