benchmark,seed,run_type,configured_generations,actual_generations,converged,elapsed_min,cost_baseline,cost_b2,cost_delta_pct,tmax_baseline_C,tmax_b2_C,tmax_delta_C,sigma_baseline_K,sigma_b2_K,sigma_delta_pct,hot_baseline,hot_b2,makespan_baseline_us,makespan_b2_us,makespan_delta_pct,comm_baseline,comm_b2,comm_delta_pct,pe_optical_energy_baseline_mJ,pe_optical_energy_b2_mJ,pe_optical_energy_delta_pct
VOPD,46,base,60,52,True,15.748006168333813,1.1,0.2517032792104425,-77.11788370814159,52.22271921261,53.51557083025,1.2928516176399967,0.9870939912641029,1.1590634922889622,17.42179595325364,0,0,89.3329,97.8363,9.51877751645811,1396000.0,258000.0,-81.51862464183381,0.7507385223064373,0.7933612851249346,5.677444483273697
VOPD,47,base,60,48,True,10.25750308833085,1.1,0.2356574339382362,-78.5765969147058,52.22271921261,53.5151229361,1.292403723489997,0.9870939912641029,1.1291899333504916,14.39538112317107,0,0,89.3329,98.8181,10.617812698345187,1396000.0,202000.0,-85.53008595988538,0.7507385223064373,0.7986592862971995,6.383149734149618
VOPD,48,base,60,57,True,9.108505493324872,1.1,0.21330786373766314,-80.6083760238488,52.22271921261,51.26236839470005,-0.9603508179099549,0.9870939912641029,0.866299326332293,-12.237402516969686,0,0,89.3329,104.3461,16.80590241669084,1396000.0,124000.0,-91.11747851002865,0.7507385223064373,0.8268349614895105,10.136210800704326
VOPD,49,base,60,33,True,9.055552108337482,1.1,0.3025787965616046,-72.49283667621778,52.22271921261,52.14492504934003,-0.0777941632699708,0.9870939912641029,1.0289888927467548,4.244266691260057,0,0,89.3329,99.28229999999999,11.13744208460712,1396000.0,358000.0,-74.35530085959886,0.7507385223064373,0.8007644866350438,6.663566986667413
HNN,40,base,60,31,True,1.2153863316557059,1.1,0.5566417910447762,-49.39620081411126,55.66757624162,57.997973425910004,2.330397184290007,2.454372247071413,1.5134930316296153,-38.33482131997158,16,11,203.177525,375.68672999999995,84.90565331967694,2195456.0,942080.0,-57.089552238805965,4.651317011228462,5.465599460510899,17.506492189561087
HNN,41,base,60,49,True,1.7655451966760058,1.1,0.4053731343283582,-63.147896879240164,55.66757624162,56.834164363599996,1.1665881219799985,2.454372247071413,1.7372410545178771,-29.21851782708289,16,12,203.177525,285.86462900000004,40.69697374254364,2195456.0,688128.0,-68.65671641791045,4.651317011228462,4.8477419314963015,4.222995762139226
HNN,42,base,60,31,True,1.0966082166725148,1.1,0.6684328358208955,-39.23337856173678,55.66757624162,58.85236126525001,3.1847850236300133,2.454372247071413,2.125246422130124,-13.409776179387867,16,11,203.177525,256.583186,26.285220769373986,2195456.0,1171456.0,-46.64179104477611,4.651317011228462,4.978970422652898,7.044314774363203
HNN,43,base,60,45,True,1.630034585002189,1.1,0.5470149253731343,-50.27137042062415,55.66757624162,55.50598873707003,-0.16158750454997062,2.454372247071413,1.75390692602549,-28.539489960486907,16,9,203.177525,367.44926,80.85133185867875,2195456.0,1081344.0,-50.74626865671642,4.651317011228462,5.180907159962952,11.385810673751928
HNN,44,base,60,60,False,2.065094331667448,1.1,0.49776119402985075,-54.74898236092266,55.66757624162,58.546203584989996,2.878627343369999,2.454372247071413,1.8092857278603327,-26.28315733201454,16,12,203.177525,243.71113,19.949846814995897,2195456.0,811008.0,-63.059701492537314,4.651317011228462,4.9721711680413625,6.89813564713706
HNN,45,base,60,60,False,2.1610195516763877,1.1,0.5715671641791045,-48.0393487109905,55.66757624162,58.27520409393003,2.6076278523100314,2.454372247071413,2.1364532173954958,-12.953170818129234,16,11,203.177525,244.21259999999998,20.19666053122755,2195456.0,1024000.0,-53.35820895522387,4.651317011228462,4.709634446016381,1.253783275728959
HNN,46,base,60,60,False,2.156612164992839,1.1,0.4516417910447761,-58.941655359565814,55.66757624162,57.530898381019995,1.8633221393999975,2.454372247071413,2.0466734713209687,-16.611122303754676,16,12,203.177525,249.57059999999998,22.833763232424452,2195456.0,942080.0,-57.089552238805965,4.651317011228462,4.877339338935717,4.859318923256106
HNN,47,base,60,60,False,2.1571633216614523,1.1,0.5380597014925373,-51.08548168249661,55.66757624162,58.19499397274001,2.5274177311200106,2.454372247071413,2.0071939079798677,-18.219662466650032,16,11,203.177525,304.01649199999997,49.63096533437936,2195456.0,1032192.0,-52.98507462686567,4.651317011228462,5.063002307758345,8.850940401096263
HNN,48,base,60,60,False,2.195586973335594,1.1,0.5380597014925373,-51.08548168249661,55.66757624162,58.881456854440046,3.2138806128200486,2.454372247071413,1.6517159383342508,-32.703120306828005,16,12,203.177525,334.8328,64.79814881099671,2195456.0,1032192.0,-52.98507462686567,4.651317011228462,5.313271265379315,14.231544583026047
HNN,49,base,60,39,True,1.4201299216598273,1.1,0.5276119402985074,-52.035278154681144,55.66757624162,56.82015932453004,1.1525830829100414,2.454372247071413,1.7506222812530279,-28.67331826531644,16,12,203.177525,293.131926,44.27379504696694,2195456.0,974848.0,-55.59701492537313,4.651317011228462,4.96400018868977,6.722465415848422
