seed,workload,preset,iterations,converged,valid,validity_notes,original_TR2_composite_cost,thermal_sa_tas_TR2_composite_cost,TR2_composite_cost_delta,TR2_composite_cost_relative_change_pct,original_T_max_C,thermal_sa_tas_T_max_C,T_max_C_delta,T_max_C_relative_change_pct,original_sigma_T_K,thermal_sa_tas_sigma_T_K,sigma_T_K_delta,sigma_T_K_relative_change_pct,original_N_hot,thermal_sa_tas_N_hot,N_hot_delta,N_hot_relative_change_pct,original_makespan_us,thermal_sa_tas_makespan_us,makespan_us_delta,makespan_us_relative_change_pct,original_DVFS_penalty_pct,thermal_sa_tas_DVFS_penalty_pct,DVFS_penalty_pct_delta,DVFS_penalty_pct_relative_change_pct,original_comm_cost,thermal_sa_tas_comm_cost,comm_cost_delta,comm_cost_relative_change_pct,original_congestion_proxy,thermal_sa_tas_congestion_proxy,congestion_proxy_delta,congestion_proxy_relative_change_pct,original_load_imbalance,thermal_sa_tas_load_imbalance,load_imbalance_delta,load_imbalance_relative_change_pct,original_total_PE_optical_energy_mJ,thermal_sa_tas_total_PE_optical_energy_mJ,total_PE_optical_energy_mJ_delta,total_PE_optical_energy_mJ_relative_change_pct,history_rows,history_best_field,history_all_best_inf,history_inf_count
45,GEMM,v2_dynamic_thermal,4764,True,True,,6.000000000000001,4.175246227443791,-1.8247537725562095,-30.41256287593682,54.93421735578005,52.761829627810016,-2.172387727970033,-3.954525671860618,2.1434761400252804,1.231812223976316,-0.9116639160489644,-42.5320300527447,6.0,0.0,-6.0,-100.0,120.405,116.859,-3.5460000000000065,-2.945060421078864,1.8350526805555563,0.0,-1.8350526805555563,-100.0,104448.0,102400.0,-2048.0,-1.9607843137254901,22528.0,19456.0,-3072.0,-13.636363636363635,0.9202539178734378,0.8059908748264233,-0.11426304304701451,-12.416469066609187,1.5708734939939561,1.5165689116088634,-0.054304582385092726,-3.456967260108449,4764,best_score,False,0
45,MPEG4,v2_dynamic_thermal,5000,True,True,,6.000000000000001,5.2506967877382245,-0.7493032122617764,-12.488386871029606,54.44663874680003,53.715750568600015,-0.7308881782000185,-1.3423935710686543,1.3003837749577485,1.1569158363340333,-0.1434679386237152,-11.032738287462616,2.0,0.0,-2.0,-100.0,122.06989999999999,122.1698,0.0999000000000052,0.08183835654817871,0.07168423611111063,0.0,-0.07168423611111063,-100.0,420000.0,512000.0,92000.0,21.904761904761905,88000.0,132000.0,44000.0,50.0,0.5670623064060744,0.5670623064060744,0.0,0.0,1.1328804365769536,1.132411983116744,-0.00046845346020951695,-0.04135065317439579,5000,best_score,False,0
45,VOPD,vopd_steady_sigma,7000,True,True,,5.0,4.6597510505827575,-0.3402489494172425,-6.80497898834485,52.22271921261,53.180842077449995,0.9581228648399929,1.8346858977972158,0.9870939912641029,0.9465088411123904,-0.04058515015171249,-4.1115790908359084,0.0,0.0,0.0,,89.3329,88.7347,-0.5981999999999914,-0.6696301138774086,0.0,0.0,0.0,,1396000.0,976000.0,-420000.0,-30.08595988538682,252000.0,144000.0,-108000.0,-42.857142857142854,0.35802469135802467,0.35802469135802467,0.0,0.0,0.7507385223064373,0.7456217962816204,-0.005116726024816942,-0.681559007934908,7000,best_score,False,0
45,HNN,hnn_dynamic_score,12000,True,True,,6.000000000000001,5.642410713088208,-0.3575892869117929,-5.9598214485298815,55.66757624162,57.21153420318001,1.543957961560011,2.773531857860316,2.454372247071413,1.8382654257937507,-0.6161068212776621,-25.102419651819663,16.0,13.0,-3.0,-18.75,203.177525,199.4927,-3.6848249999999894,-1.813598723579288,11.14198573637825,8.012443626030219,-3.129542110348032,-28.087830880362468,2195456.0,1998848.0,-196608.0,-8.955223880597014,163840.0,188416.0,24576.0,15.0,0.3028095733610822,0.20915712799167535,-0.09365244536940687,-30.927835051546392,4.651317011228462,4.539613459809941,-0.11170355141852095,-2.4015467264188657,12000,best_score,False,0
46,GEMM,v2_dynamic_thermal,3348,True,True,,6.000000000000001,4.215451395712877,-1.7845486042871235,-29.74247673811872,54.93421735578005,53.360165590270014,-1.5740517655100348,-2.86533938458744,2.1434761400252804,1.2393946545843195,-0.9040814854409609,-42.17828547558724,6.0,0.0,-6.0,-100.0,120.405,116.8887,-3.516300000000001,-2.9203936713591636,1.8350526805555563,0.0,-1.8350526805555563,-100.0,104448.0,104448.0,0.0,0.0,22528.0,18432.0,-4096.0,-18.181818181818183,0.9202539178734378,0.8059908748264233,-0.11426304304701451,-12.416469066609187,1.5708734939939561,1.516936377382047,-0.05393711661190914,-3.433574811602026,3348,best_score,False,0
46,MPEG4,v2_dynamic_thermal,3347,True,True,,6.000000000000001,5.526586765851798,-0.4734132341482029,-7.890220569136713,54.44663874680003,53.70926430856002,-0.7373744382400105,-1.3543066297795066,1.3003837749577485,1.224462367469148,-0.07592140748860055,-5.83838471001127,2.0,0.0,-2.0,-100.0,122.06989999999999,122.22479999999999,0.15489999999999782,0.12689450880192238,0.07168423611111063,0.0,-0.07168423611111063,-100.0,420000.0,616000.0,196000.0,46.666666666666664,88000.0,136000.0,48000.0,54.54545454545454,0.5670623064060744,0.8302129875825772,0.26315068117650287,46.40595543094698,1.1328804365769536,1.1333515436947859,0.0004711071178322701,0.041584893040940867,3347,best_score,False,0
46,VOPD,vopd_steady_sigma,7000,True,True,,5.0,4.461263628145077,-0.538736371854923,-10.77472743709846,52.22271921261,52.36229026862003,0.13957105601002695,0.2672611807933688,0.9870939912641029,0.9449759579806625,-0.04211803328344044,-4.2668716106257305,0.0,0.0,0.0,,89.3329,87.45479999999999,-1.8781000000000034,-2.1023609442881663,0.0,0.0,0.0,,1396000.0,916000.0,-480000.0,-34.38395415472779,252000.0,128000.0,-124000.0,-49.2063492063492,0.35802469135802467,0.35802469135802467,0.0,0.0,0.7507385223064373,0.7384520006068716,-0.012286521699565789,-1.6365913476530862,7000,best_score,False,0
46,HNN,hnn_dynamic_score,12000,True,True,,6.000000000000001,5.841167143120834,-0.15883285687916704,-2.6472142813194504,55.66757624162,57.92740454448,2.259828302860001,4.059505470565889,2.454372247071413,1.8757058479077124,-0.5786663991637004,-23.576961475757084,16.0,13.0,-3.0,-18.75,203.177525,229.7209,26.543374999999997,13.064129509403166,11.14198573637825,11.042064600961563,-0.09992113541668779,-0.8967982708005832,2195456.0,1908736.0,-286720.0,-13.059701492537313,163840.0,147456.0,-16384.0,-10.0,0.3028095733610822,0.19458896982310095,-0.10822060353798127,-35.738831615120276,4.651317011228462,4.819974016167746,0.16865700493928326,3.626005377232698,12000,best_score,False,0
47,GEMM,v2_dynamic_thermal,5000,True,True,,6.000000000000001,5.122894753199276,-0.877105246800725,-14.618420780012082,54.93421735578005,52.880850488240014,-2.053366867540035,-3.7378649708276668,2.1434761400252804,1.3809515032525843,-0.7625246367726961,-35.57420689384034,6.0,0.0,-6.0,-100.0,120.405,176.2609,55.85589999999999,46.39001702587101,1.8350526805555563,0.0,-1.8350526805555563,-100.0,104448.0,107520.0,3072.0,2.941176470588235,22528.0,16384.0,-6144.0,-27.27272727272727,0.9202539178734378,1.9486213052965682,1.0283673874231303,111.74822159948263,1.5708734939939561,1.8357257494872248,0.26485225549326863,16.860189983846503,5000,best_score,False,0
47,MPEG4,v2_dynamic_thermal,3888,True,True,,6.000000000000001,4.795923694248428,-1.204076305751573,-20.067938429192882,54.44663874680003,52.800935053080025,-1.6457036937200087,-3.022599248730907,1.3003837749577485,1.1095660914203664,-0.19081768353738204,-14.67395142972943,2.0,0.0,-2.0,-100.0,122.06989999999999,121.40169999999999,-0.6681999999999988,-0.5473912897446453,0.07168423611111063,0.0,-0.07168423611111063,-100.0,420000.0,472000.0,52000.0,12.380952380952381,88000.0,76000.0,-12000.0,-13.636363636363635,0.5670623064060744,1.0538910665826047,0.4868287601765303,85.85101754725191,1.1328804365769536,1.1276037253202889,-0.0052767112566647345,-0.4657783016015831,3888,best_score,False,0
