workload,metric,metric_label,unit,n,valid_count,original_mean,original_std,original_ci95_half,original_min,original_max,thermal_sa_tas_mean,thermal_sa_tas_std,thermal_sa_tas_ci95_half,thermal_sa_tas_min,thermal_sa_tas_max,delta_mean,delta_std,delta_ci95_half,delta_min,delta_max,relative_change_pct_mean,relative_change_pct_std,relative_change_pct_ci95_half,relative_change_pct_min,relative_change_pct_max
MPEG4,total_PE_optical_energy_mJ,total PE+optical energy,mJ,10,10,1.1328804365769536,0.0,0.0,1.1328804365769536,1.1328804365769536,1.130645195513803,0.0023167173913554535,0.0016572797850465514,1.1266374271938753,1.1333515436947859,-0.002235241063150628,0.0023167173913554535,0.0016572797850465514,-0.006243009383078313,0.0004711071178322701,-0.19730599902532558,0.20449796082237182,0.14628902852750222,-0.5510739864077653,0.041584893040940867
VOPD,TR2_composite_cost,TR2 composite cost,cost,10,10,5.0,0.0,0.0,5.0,5.0,4.501892335386793,0.07116186856364627,0.05090613411749361,4.416684123903808,4.6597510505827575,-0.4981076646132069,0.07116186856364627,0.05090613411749361,-0.5833158760961918,-0.3402489494172425,-9.962153292264137,1.4232373712729256,1.0181226823498724,-11.666317521923837,-6.80497898834485
VOPD,T_max_C,T_max,C,10,10,52.22271921261,0.0,0.0,52.22271921261,52.22271921261,52.224440377816016,0.4240079779560324,0.3033170352098338,51.623603892660014,53.180842077449995,0.0017211652060154848,0.4240079779560324,0.3033170352098338,-0.5991153199499877,0.9581228648399929,0.003295816901085249,0.8119224436203792,0.5808143271417262,-1.1472311840194676,1.8346858977972158
VOPD,sigma_T_K,sigma_T,K,10,10,0.9870939912641029,0.0,0.0,0.9870939912641029,0.9870939912641029,0.9419502845524721,0.022259941897411612,0.0159238031624164,0.9146805764034436,0.9854874394923582,-0.04514370671163085,0.022259941897411612,0.0159238031624164,-0.07241341486065933,-0.0016065517717447353,-4.5733949462926455,2.25509851082214,1.6132002933199792,-7.3360202272049575,-0.16275570370835057
VOPD,N_hot,N_hot,count,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
VOPD,makespan_us,makespan,us,10,10,89.3329,0.0,0.0,89.3329,89.3329,88.32249,0.9658078028837372,0.690897281615762,87.3506,90.6447,-1.0104099999999931,0.9658078028837372,0.690897281615762,-1.982299999999995,1.3118000000000052,-1.1310614566413866,1.0811333818601403,0.7733962309695107,-2.2190033011354107,1.4684399588505526
VOPD,DVFS_penalty_pct,DVFS penalty,%,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
VOPD,comm_cost,comm cost,byte-hop,10,10,1396000.0,0.0,0.0,1396000.0,1396000.0,903200.0,56223.36406394291,40219.77175902724,812000.0,976000.0,-492800.0,56223.36406394291,40219.77175902724,-584000.0,-420000.0,-35.30085959885387,4.0274616091649635,2.8810724755750163,-41.833810888252145,-30.08595988538682
VOPD,congestion_proxy,congestion proxy,byte-hop,10,10,252000.0,0.0,0.0,252000.0,252000.0,146600.0,16493.76986757256,11798.932179960471,128000.0,188000.0,-105400.0,16493.76986757256,11798.932179960471,-124000.0,-64000.0,-41.82539682539682,6.545146772846252,4.682115944428758,-49.2063492063492,-25.396825396825395
VOPD,load_imbalance,load imbalance,ratio,10,10,0.35802469135802467,0.0,0.0,0.35802469135802467,0.35802469135802467,0.35802469135802467,0.0,0.0,0.35802469135802467,0.35802469135802467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
