Time(ns),ComponentType,ComponentID,EventType,Value
222000.00,PE,0,IDLE,0.62
223000.00,PE,0,IDLE,0.62
224000.00,PE,0,IDLE,0.62
225000.00,PE,0,IDLE,0.62
226000.00,PE,0,IDLE,0.62
227000.00,PE,0,IDLE,0.62
228000.00,PE,0,IDLE,0.62
229000.00,PE,0,IDLE,0.62
230000.00,PE,0,IDLE,0.62
231000.00,PE,0,IDLE,0.62
232000.00,PE,0,IDLE,0.62
233000.00,PE,0,IDLE,0.62
234000.00,PE,0,IDLE,0.62
235000.00,PE,0,IDLE,0.62
236000.00,PE,0,IDLE,0.62
237000.00,PE,0,IDLE,0.62
238000.00,PE,0,IDLE,0.62
239000.00,PE,0,IDLE,0.62
240000.00,PE,0,IDLE,0.62
241000.00,PE,0,IDLE,0.62
242000.00,PE,0,IDLE,0.62
243000.00,PE,0,IDLE,0.62
244000.00,PE,0,IDLE,0.62
245000.00,PE,0,IDLE,0.62
246000.00,PE,0,IDLE,0.62
247000.00,PE,0,IDLE,0.62
248000.00,PE,0,IDLE,0.62
249000.00,PE,0,IDLE,0.62
250000.00,PE,0,IDLE,0.62
251000.00,PE,0,IDLE,0.62
252000.00,PE,0,IDLE,0.62
253000.00,PE,0,IDLE,0.62
254000.00,PE,0,IDLE,0.62
255000.00,PE,0,IDLE,0.62
256000.00,PE,0,IDLE,0.62
257000.00,PE,0,IDLE,0.62
258000.00,PE,0,IDLE,0.62
259000.00,PE,0,IDLE,0.62
260000.00,PE,0,IDLE,0.62
261000.00,PE,0,IDLE,0.62
262000.00,PE,0,IDLE,0.62
263000.00,PE,0,IDLE,0.62
264000.00,PE,0,IDLE,0.62
265000.00,PE,0,IDLE,0.62
266000.00,PE,0,IDLE,0.62
267000.00,PE,0,IDLE,0.62
268000.00,PE,0,IDLE,0.62
269000.00,PE,0,IDLE,0.62
270000.00,PE,0,IDLE,0.62
271000.00,PE,0,IDLE,0.62
272000.00,PE,0,IDLE,0.62
273000.00,PE,0,IDLE,0.62
274000.00,PE,0,IDLE,0.62
275000.00,PE,0,IDLE,0.62
276000.00,PE,0,IDLE,0.62
277000.00,PE,0,IDLE,0.62
278000.00,PE,0,IDLE,0.62
279000.00,PE,0,IDLE,0.62
280000.00,PE,0,IDLE,0.62
281000.00,PE,0,IDLE,0.62
282000.00,PE,0,IDLE,0.62
283000.00,PE,0,IDLE,0.62
284000.00,PE,0,IDLE,0.62
285000.00,PE,0,IDLE,0.62
286000.00,PE,0,IDLE,0.62
287000.00,PE,0,IDLE,0.62
288000.00,PE,0,IDLE,0.62
289000.00,PE,0,IDLE,0.62
290000.00,PE,0,IDLE,0.62
291000.00,PE,0,IDLE,0.62
292000.00,PE,0,IDLE,0.62
293000.00,PE,0,IDLE,0.62
294000.00,PE,0,IDLE,0.62
295000.00,PE,0,IDLE,0.62
296000.00,PE,0,IDLE,0.62
297000.00,PE,0,IDLE,0.62
298000.00,PE,0,IDLE,0.62
299000.00,PE,0,IDLE,0.62
300000.00,PE,0,IDLE,0.62
301000.00,PE,0,IDLE,0.62
302000.00,PE,0,IDLE,0.62
303000.00,PE,0,IDLE,0.62
304000.00,PE,0,IDLE,0.62
305000.00,PE,0,IDLE,0.62
306000.00,PE,0,IDLE,0.62
307000.00,PE,0,IDLE,0.62
308000.00,PE,0,IDLE,0.62
309000.00,PE,0,IDLE,0.62
310000.00,PE,0,IDLE,0.62
311000.00,PE,0,IDLE,0.62
312000.00,PE,0,IDLE,0.62
313000.00,PE,0,IDLE,0.62
314000.00,PE,0,IDLE,0.62
315000.00,PE,0,IDLE,0.62
316000.00,PE,0,IDLE,0.62
317000.00,PE,0,IDLE,0.62
318000.00,PE,0,IDLE,0.62
319000.00,PE,0,IDLE,0.62
320000.00,PE,0,IDLE,0.62
321000.00,PE,0,IDLE,0.62
322000.00,PE,0,IDLE,0.62
323000.00,PE,0,IDLE,0.62
324000.00,PE,0,IDLE,0.62
325000.00,PE,0,IDLE,0.62
326000.00,PE,0,IDLE,0.62
327000.00,PE,0,IDLE,0.62
328000.00,PE,0,IDLE,0.62
329000.00,PE,0,IDLE,0.62
330000.00,PE,0,IDLE,0.62
331000.00,PE,0,IDLE,0.62
332000.00,PE,0,IDLE,0.62
333000.00,PE,0,IDLE,0.62
334000.00,PE,0,IDLE,0.62
335000.00,PE,0,IDLE,0.62
336000.00,PE,0,IDLE,0.62
337000.00,PE,0,IDLE,0.62
338000.00,PE,0,IDLE,0.62
339000.00,PE,0,IDLE,0.62
340000.00,PE,0,IDLE,0.62
341000.00,PE,0,IDLE,0.62
342000.00,PE,0,IDLE,0.62
343000.00,PE,0,IDLE,0.62
344000.00,PE,0,IDLE,0.62
345000.00,PE,0,IDLE,0.62
346000.00,PE,0,IDLE,0.62
347000.00,PE,0,IDLE,0.62
348000.00,PE,0,IDLE,0.62
349000.00,PE,0,IDLE,0.62
350000.00,PE,0,IDLE,0.62
351000.00,PE,0,IDLE,0.62
352000.00,PE,0,IDLE,0.62
353000.00,PE,0,IDLE,0.62
354000.00,PE,0,IDLE,0.62
355000.00,PE,0,IDLE,0.62
356000.00,PE,0,IDLE,0.62
357000.00,PE,0,IDLE,0.62
358000.00,PE,0,IDLE,0.62
359000.00,PE,0,IDLE,0.62
360000.00,PE,0,IDLE,0.62
361000.00,PE,0,IDLE,0.62
362000.00,PE,0,IDLE,0.62
363000.00,PE,0,IDLE,0.62
364000.00,PE,0,IDLE,0.62
365000.00,PE,0,IDLE,0.62
366000.00,PE,0,IDLE,0.62
367000.00,PE,0,IDLE,0.62
368000.00,PE,0,IDLE,0.62
369000.00,PE,0,IDLE,0.62
370000.00,PE,0,IDLE,0.62
371000.00,PE,0,IDLE,0.62
372000.00,PE,0,IDLE,0.62
373000.00,PE,0,IDLE,0.62
374000.00,PE,0,IDLE,0.62
375000.00,PE,0,IDLE,0.62
376000.00,PE,0,IDLE,0.62
377000.00,PE,0,IDLE,0.62
378000.00,PE,0,IDLE,0.62
379000.00,PE,0,IDLE,0.62
380000.00,PE,0,IDLE,0.62
381000.00,PE,0,IDLE,0.62
382000.00,PE,0,IDLE,0.62
383000.00,PE,0,IDLE,0.62
384000.00,PE,0,IDLE,0.62
385000.00,PE,0,IDLE,0.62
386000.00,PE,0,IDLE,0.62
387000.00,PE,0,IDLE,0.62
388000.00,PE,0,IDLE,0.62
389000.00,PE,0,IDLE,0.62
390000.00,PE,0,IDLE,0.62
391000.00,PE,0,IDLE,0.62
392000.00,PE,0,IDLE,0.62
393000.00,PE,0,IDLE,0.62
394000.00,PE,0,IDLE,0.62
395000.00,PE,0,IDLE,0.62
396000.00,PE,0,IDLE,0.62
397000.00,PE,0,IDLE,0.62
398000.00,PE,0,IDLE,0.62
399000.00,PE,0,IDLE,0.62
400000.00,PE,0,IDLE,0.62
401000.00,PE,0,IDLE,0.62
402000.00,PE,0,IDLE,0.62
403000.00,PE,0,IDLE,0.62
404000.00,PE,0,IDLE,0.62
405000.00,PE,0,IDLE,0.62
406000.00,PE,0,IDLE,0.62
407000.00,PE,0,IDLE,0.62
408000.00,PE,0,IDLE,0.62
409000.00,PE,0,IDLE,0.62
410000.00,PE,0,IDLE,0.62
411000.00,PE,0,IDLE,0.62
412000.00,PE,0,IDLE,0.62
