pe,source_pe,R_K_per_W
14,15,0.314983677669148
15,0,0.22379053194285567
15,1,0.2781316925902688
15,2,0.22733625181484146
15,3,0.3176414264610926
15,4,0.2781316925902688
15,5,0.22733625181484146
15,6,0.3176414264610926
15,7,0.198010605452912
15,8,0.22733625181484146
15,9,0.3176414264610926
15,10,0.198010605452912
15,11,0.314983677669148
15,12,0.3176414264610926
15,13,0.198010605452912
15,14,0.314983677669148
15,15,0.2616194073831319
