workload,method,display_label,metric_group,term,term_label,n,term_mean,term_ci95,term_min,term_max,display_as
VOPD,CommAware-Heuristic,CommAware-Heuristic,thermal_safety,f_hot,Nhot,1,0.0,0.0,0.0,0.0,single/reference
VOPD,CommAware-Heuristic,CommAware-Heuristic,performance,f_makespan,makespan,1,1.23432912174574,0.0,1.23432912174574,1.23432912174574,single/reference
VOPD,CommAware-Heuristic,CommAware-Heuristic,performance,f_dvfs,DVFS,1,0.0,0.0,0.0,0.0,single/reference
VOPD,CommAware-Heuristic,CommAware-Heuristic,communication_pressure,f_comm,comm,1,0.0859598853868194,0.0,0.0859598853868194,0.0859598853868194,single/reference
VOPD,CommAware-Heuristic,CommAware-Heuristic,communication_pressure,f_congestion,congestion,1,0.238095238095238,0.0,0.238095238095238,0.238095238095238,single/reference
VOPD,CommAware-Heuristic,CommAware-Heuristic,mapping_balance,f_load,load,1,22.03448275862069,0.0,22.03448275862069,22.03448275862069,single/reference
VOPD,CommAware-Heuristic,CommAware-Heuristic,energy,f_energy,energy,1,1.1447679106247326,0.0,1.1447679106247326,1.1447679106247326,single/reference
VOPD,Full-GA,Full-GA,thermal_safety,f_thermal,Tmax,10,0.9666927418453459,0.03270073657392728,0.8927303877288628,1.0206207739392663,mean only; CI not drawn
VOPD,Full-GA,Full-GA,thermal_safety,f_sigma,sigmaT,10,0.9262477306329776,0.021615480916096715,0.8734613387230916,0.9785339547167172,mean only; CI not drawn
VOPD,Full-GA,Full-GA,thermal_safety,f_hot,Nhot,10,0.0,0.0,0.0,0.0,mean only; CI not drawn
VOPD,Full-GA,Full-GA,performance,f_makespan,makespan,10,0.9860417606503316,0.005768413723228589,0.9772525015979556,1.0005809729674062,mean only; CI not drawn
VOPD,Full-GA,Full-GA,performance,f_dvfs,DVFS,10,0.0,0.0,0.0,0.0,mean only; CI not drawn
VOPD,Full-GA,Full-GA,communication_pressure,f_comm,comm,10,0.7776504297994269,0.042507115240987006,0.66189111747851,0.8810888252148997,mean only; CI not drawn
VOPD,Full-GA,Full-GA,communication_pressure,f_congestion,congestion,10,0.4412698412698412,0.07106541741812308,0.2857142857142857,0.5714285714285714,mean only; CI not drawn
VOPD,Full-GA,Full-GA,mapping_balance,f_load,load,10,1.0766283524904214,0.15019157088122612,1.0,1.7662835249042148,mean only; CI not drawn
VOPD,Full-GA,Full-GA,energy,f_energy,energy,10,0.988923442981784,0.0038921009379578827,0.9828384978033068,0.9988901871460376,mean only; CI not drawn
HNN,ReferenceMapping,Reference (anchor),thermal_safety,f_thermal,Tmax,10,1.0,0.0,1.0,1.0,single/reference
HNN,ReferenceMapping,Reference (anchor),thermal_safety,f_sigma,sigmaT,10,1.0,0.0,1.0,1.0,single/reference
HNN,ReferenceMapping,Reference (anchor),thermal_safety,f_hot,Nhot,10,1.0,0.0,1.0,1.0,single/reference
HNN,ReferenceMapping,Reference (anchor),performance,f_makespan,makespan,10,1.0,0.0,1.0,1.0,single/reference
HNN,ReferenceMapping,Reference (anchor),performance,f_dvfs,DVFS,10,1.0,0.0,1.0,1.0,single/reference
HNN,ReferenceMapping,Reference (anchor),communication_pressure,f_comm,comm,10,1.0,0.0,1.0,1.0,single/reference
HNN,ReferenceMapping,Reference (anchor),communication_pressure,f_congestion,congestion,10,1.0,0.0,1.0,1.0,single/reference
HNN,ReferenceMapping,Reference (anchor),mapping_balance,f_load,load,10,1.0,0.0,1.0,1.0,single/reference
HNN,ReferenceMapping,Reference (anchor),energy,f_energy,energy,10,1.0,0.0,1.0,1.0,single/reference
HNN,Thermal-SA-TAS,Thermal-SA-TAS,thermal_safety,f_thermal,Tmax,10,1.1678361700807607,0.03142101868070808,1.1042822958470904,1.2505405993071337,mean only; CI not drawn
HNN,Thermal-SA-TAS,Thermal-SA-TAS,thermal_safety,f_sigma,sigmaT,10,0.7527622599550462,0.024325609003633474,0.6970544587071889,0.8102004366675689,mean only; CI not drawn
HNN,Thermal-SA-TAS,Thermal-SA-TAS,thermal_safety,f_hot,Nhot,10,0.8125,0.031629363994027236,0.75,0.875,mean only; CI not drawn
HNN,Thermal-SA-TAS,Thermal-SA-TAS,performance,f_makespan,makespan,10,1.0257551468844794,0.03636820085047426,0.9713013287271808,1.1306412950940317,mean only; CI not drawn
HNN,Thermal-SA-TAS,Thermal-SA-TAS,performance,f_dvfs,DVFS,10,0.797085484250936,0.07800422497736621,0.6182224018784546,0.9910320172919942,mean only; CI not drawn
HNN,Thermal-SA-TAS,Thermal-SA-TAS,communication_pressure,f_comm,comm,10,0.8638059701492538,0.05466624580791981,0.6902985074626866,0.9701492537313432,mean only; CI not drawn
HNN,Thermal-SA-TAS,Thermal-SA-TAS,communication_pressure,f_congestion,congestion,10,1.035,0.09913674058255766,0.9,1.35,mean only; CI not drawn
HNN,Thermal-SA-TAS,Thermal-SA-TAS,mapping_balance,f_load,load,10,0.8247422680412371,0.11511637909212719,0.5257731958762886,1.0687285223367695,mean only; CI not drawn
HNN,Thermal-SA-TAS,Thermal-SA-TAS,energy,f_energy,energy,10,0.9950332576260397,0.013170919693413968,0.97290040875727,1.036260053772327,mean only; CI not drawn
HNN,CommAware-Heuristic,CommAware-Heuristic,thermal_safety,f_thermal,Tmax,1,1.142335599865323,0.0,1.142335599865323,1.142335599865323,single/reference
HNN,CommAware-Heuristic,CommAware-Heuristic,thermal_safety,f_sigma,sigmaT,1,1.1303846076073836,0.0,1.1303846076073836,1.1303846076073836,single/reference
HNN,CommAware-Heuristic,CommAware-Heuristic,thermal_safety,f_hot,Nhot,1,0.3125,0.0,0.3125,0.3125,single/reference
HNN,CommAware-Heuristic,CommAware-Heuristic,performance,f_makespan,makespan,1,1.7351692959149885,0.0,1.7351692959149885,1.7351692959149885,single/reference
HNN,CommAware-Heuristic,CommAware-Heuristic,performance,f_dvfs,DVFS,1,0.2236656335158266,0.0,0.2236656335158266,0.2236656335158266,single/reference
HNN,CommAware-Heuristic,CommAware-Heuristic,communication_pressure,f_comm,comm,1,0.0746268656716417,0.0,0.0746268656716417,0.0746268656716417,single/reference
HNN,CommAware-Heuristic,CommAware-Heuristic,communication_pressure,f_congestion,congestion,1,0.3,0.0,0.3,0.3,single/reference
HNN,CommAware-Heuristic,CommAware-Heuristic,mapping_balance,f_load,load,1,8.140893470790378,0.0,8.140893470790378,8.140893470790378,single/reference
HNN,CommAware-Heuristic,CommAware-Heuristic,energy,f_energy,energy,1,1.1394141936673046,0.0,1.1394141936673046,1.1394141936673046,single/reference
HNN,Full-GA,Full-GA,thermal_safety,f_thermal,Tmax,10,1.0111000199034004,0.04066048699864717,0.911915666531268,1.1139833174621263,mean only; CI not drawn
HNN,Full-GA,Full-GA,thermal_safety,f_sigma,sigmaT,10,0.7047756419942958,0.022583312980344186,0.6578646605715331,0.7641492410324262,mean only; CI not drawn
HNN,Full-GA,Full-GA,thermal_safety,f_hot,Nhot,10,0.49375,0.13961178814444317,0.125,0.8125,mean only; CI not drawn
HNN,Full-GA,Full-GA,performance,f_makespan,makespan,10,1.1162585527114772,0.05204455474794385,0.973467906944924,1.2112195972462996,mean only; CI not drawn
HNN,Full-GA,Full-GA,performance,f_dvfs,DVFS,10,0.2994671180087639,0.1560151855937994,0.0356932037139672,0.76269668752294,mean only; CI not drawn
HNN,Full-GA,Full-GA,communication_pressure,f_comm,comm,10,0.7697761194029851,0.02886619341632105,0.7052238805970149,0.8768656716417911,mean only; CI not drawn
HNN,Full-GA,Full-GA,communication_pressure,f_congestion,congestion,10,0.82,0.05307705091028826,0.65,0.95,mean only; CI not drawn
HNN,Full-GA,Full-GA,mapping_balance,f_load,load,10,1.4852233676975943,0.3185885434406349,0.8350515463917525,2.47766323024055,mean only; CI not drawn
HNN,Full-GA,Full-GA,energy,f_energy,energy,10,0.9706756897920839,0.008729047724088175,0.9481424708869408,0.995253070284209,mean only; CI not drawn
