figure,workload,method,seed,seed_type,role,full_objective_comparable_score,reference_full_objective_comparable_score,delta_vs_reference,relative_change_pct_vs_reference,valid,validity_notes,metrics_path
figure2,VOPD,ReferenceMapping,48,ga_seed,reference_mapping,5.0,5.0,0.0,0.0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_48\gen_60\vopd\metrics.json
figure2,VOPD,Full-GA,48,ga_seed,proposed_method,4.3470398343814445,5.0,-0.6529601656185555,-13.059203312371114,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_48\gen_60\vopd\metrics.json
figure2,HNN,ReferenceMapping,48,ga_seed,reference_mapping,6.000000000000001,6.000000000000001,0.0,0.0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_48\gen_60\hnn\metrics.json
figure2,HNN,Full-GA,48,ga_seed,proposed_method,4.878621881488557,6.000000000000001,-1.1213781185114442,-18.689635308524068,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_48\gen_60\hnn\metrics.json
figure2,GEMM,ReferenceMapping,49,ga_seed,reference_mapping,6.000000000000001,6.000000000000001,0.0,0.0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_49\gen_60\gemm\metrics.json
figure2,GEMM,Full-GA,49,ga_seed,proposed_method,3.7786313870473434,6.000000000000001,-2.2213686129526575,-37.02281021587762,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_49\gen_60\gemm\metrics.json
figure2,MPEG4,ReferenceMapping,49,ga_seed,reference_mapping,6.000000000000001,6.000000000000001,0.0,0.0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_49\gen_60\mpeg4\metrics.json
figure2,MPEG4,Full-GA,49,ga_seed,proposed_method,4.188954448764773,6.000000000000001,-1.8110455512352281,-30.184092520587136,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_49\gen_60\mpeg4\metrics.json
figure2,VOPD,ReferenceMapping,49,ga_seed,reference_mapping,5.0,5.0,0.0,0.0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_49\gen_60\vopd\metrics.json
figure2,VOPD,Full-GA,49,ga_seed,proposed_method,4.2209760937638094,5.0,-0.7790239062361906,-15.580478124723808,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_49\gen_60\vopd\metrics.json
figure2,HNN,ReferenceMapping,49,ga_seed,reference_mapping,6.000000000000001,6.000000000000001,0.0,0.0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_49\gen_60\hnn\metrics.json
figure2,HNN,Full-GA,49,ga_seed,proposed_method,5.327389471999339,6.000000000000001,-0.6726105280006616,-11.210175466677697,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_49\gen_60\hnn\metrics.json
