comparison_type,workload,method,ablation,n,valid_count,seeds,full_score_mean,full_score_std,full_score_ci95_half,full_score_min,full_score_max,full_score_delta_mean,full_score_delta_std,full_score_delta_ci95_half,full_score_delta_min,full_score_delta_max,full_score_relative_change_pct_mean,full_score_relative_change_pct_std,full_score_relative_change_pct_ci95_half,full_score_relative_change_pct_min,full_score_relative_change_pct_max
external_baseline,MPEG4,RandomBest,,1,1,1761,4.441197410955547,0.0,0.0,4.441197410955547,4.441197410955547,-1.5588025890444541,0.0,0.0,-1.5588025890444541,-1.5588025890444541,-25.980043150740894,0.0,0.0,-25.980043150740894,-25.980043150740894
external_baseline,MPEG4,RandomMedian,,1,1,2383,5.256811453120918,0.0,0.0,5.256811453120918,5.256811453120918,-0.7431885468790833,0.0,0.0,-0.7431885468790833,-0.7431885468790833,-12.386475781318051,0.0,0.0,-12.386475781318051,-12.386475781318051
external_baseline,MPEG4,RandomP10,,1,1,2456,4.833898391410855,0.0,0.0,4.833898391410855,4.833898391410855,-1.1661016085891456,0.0,0.0,-1.1661016085891456,-1.1661016085891456,-19.43502680981909,0.0,0.0,-19.43502680981909,-19.43502680981909
external_baseline,MPEG4,RandomP90,,1,1,1152,5.970499856273806,0.0,0.0,5.970499856273806,5.970499856273806,-0.029500143726195027,0.0,0.0,-0.029500143726195027,-0.029500143726195027,-0.49166906210325045,0.0,0.0,-0.49166906210325045,-0.49166906210325045
external_baseline,MPEG4,Thermal-SA-TAS,,10,10,"40,41,42,43,44,45,46,47,48,49",4.919120942636016,0.3048239402254347,0.18893183554604112,4.484225016396434,5.526586765851798,-1.0808790573639853,0.3048239402254347,0.18893183554604112,-1.515774983603567,-0.4734132341482029,-18.01465095606642,5.0803990037572415,3.14886392576735,-25.262916393392775,-7.890220569136719
external_baseline,VOPD,CommAware-Heuristic,,1,1,,8.896455532844945,0.0,0.0,8.896455532844945,8.896455532844945,3.8964555328449446,0.0,0.0,3.8964555328449446,3.8964555328449446,77.9291106568989,0.0,0.0,77.9291106568989,77.9291106568989
external_baseline,VOPD,RandomBest,,1,1,2449,4.731106373006268,0.0,0.0,4.731106373006268,4.731106373006268,-0.26889362699373187,0.0,0.0,-0.26889362699373187,-0.26889362699373187,-5.377872539874639,0.0,0.0,-5.377872539874639,-5.377872539874639
external_baseline,VOPD,RandomMedian,,1,1,2441,5.528208748808112,0.0,0.0,5.528208748808112,5.528208748808112,0.5282087488081117,0.0,0.0,0.5282087488081117,0.5282087488081117,10.564174976162244,0.0,0.0,10.564174976162244,10.564174976162244
external_baseline,VOPD,RandomP10,,1,1,780,5.148815268613549,0.0,0.0,5.148815268613549,5.148815268613549,0.1488152686135491,0.0,0.0,0.1488152686135491,0.1488152686135491,2.976305372270982,0.0,0.0,2.976305372270982,2.976305372270982
external_baseline,VOPD,RandomP90,,1,1,280,6.029117071317573,0.0,0.0,6.029117071317573,6.029117071317573,1.0291170713175726,0.0,0.0,1.0291170713175726,1.0291170713175726,20.582341426351448,0.0,0.0,20.582341426351448,20.582341426351448
external_baseline,VOPD,Thermal-SA-TAS,,10,10,"40,41,42,43,44,45,46,47,48,49",4.501892335386794,0.07116186856364627,0.04410658309407279,4.416684123903808,4.6597510505827575,-0.4981076646132069,0.07116186856364627,0.04410658309407279,-0.5833158760961918,-0.3402489494172425,-9.962153292264137,1.4232373712729272,0.8821316618814569,-11.66631752192384,-6.804978988344845
