figure,workload,method,method_family,source_root,ablation,seed,seed_type,selection_policy,source_objective_name,stored_TR2_composite_cost,full_objective_comparable_score,reference_full_objective_comparable_score,delta_vs_reference,relative_change_pct_vs_reference,valid,validity_notes,metrics_path
figure4,GEMM,Full-GA,proposed,B-2-v4,,48,ga_seed,,baseline_normalized_v2,3.7259784989639666,3.7259784989639666,6.000000000000001,-2.2740215010360343,-37.90035835060056,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_48\gen_60\gemm\metrics.json
figure4,MPEG4,Full-GA,proposed,B-2-v4,,48,ga_seed,,baseline_normalized_v2,4.188175475521553,4.188175475521553,6.000000000000001,-1.8118245244784479,-30.19707540797413,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_48\gen_60\mpeg4\metrics.json
figure4,VOPD,Full-GA,proposed,B-2-v4,,48,ga_seed,,baseline_normalized_v2,4.3470398343814445,4.3470398343814445,5.0,-0.6529601656185555,-13.059203312371114,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_48\gen_60\vopd\metrics.json
figure4,HNN,Full-GA,proposed,B-2-v4,,48,ga_seed,,baseline_normalized_v2,4.878621881488557,4.878621881488557,6.000000000000001,-1.1213781185114442,-18.689635308524068,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_48\gen_60\hnn\metrics.json
figure4,GEMM,Full-GA,proposed,B-2-v4,,49,ga_seed,,baseline_normalized_v2,3.7786313870473434,3.7786313870473434,6.000000000000001,-2.2213686129526575,-37.02281021587762,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_49\gen_60\gemm\metrics.json
figure4,MPEG4,Full-GA,proposed,B-2-v4,,49,ga_seed,,baseline_normalized_v2,4.188954448764773,4.188954448764773,6.000000000000001,-1.8110455512352281,-30.184092520587136,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_49\gen_60\mpeg4\metrics.json
figure4,VOPD,Full-GA,proposed,B-2-v4,,49,ga_seed,,baseline_normalized_v2,4.2209760937638094,4.2209760937638094,5.0,-0.7790239062361906,-15.580478124723808,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_49\gen_60\vopd\metrics.json
figure4,HNN,Full-GA,proposed,B-2-v4,,49,ga_seed,,baseline_normalized_v2,5.327389471999339,5.327389471999339,6.000000000000001,-0.6726105280006616,-11.210175466677697,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_49\gen_60\hnn\metrics.json
figure4,GEMM,thermal-only,ablation,B-2-v4-ablation,thermal-only,40,ga_seed,,baseline_normalized_v2,1.0253542108776807,8.643624932550848,6.000000000000001,2.643624932550847,44.06041554251412,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\thermal-only\seed_40\gen_60\gemm\metrics.json
figure4,MPEG4,thermal-only,ablation,B-2-v4-ablation,thermal-only,40,ga_seed,,baseline_normalized_v2,1.302589309598189,6.595115888392986,6.000000000000001,0.5951158883929848,9.918598139883073,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\thermal-only\seed_40\gen_60\mpeg4\metrics.json
figure4,VOPD,thermal-only,ablation,B-2-v4-ablation,thermal-only,40,ga_seed,,baseline_normalized_v2,1.6078291591964233,6.713874659876559,5.0,1.7138746598765593,34.27749319753119,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\thermal-only\seed_40\gen_60\vopd\metrics.json
figure4,HNN,thermal-only,ablation,B-2-v4-ablation,thermal-only,40,ga_seed,,baseline_normalized_v2,1.3116528765522193,8.879667728227618,6.000000000000001,2.8796677282276173,47.994462137126945,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\thermal-only\seed_40\gen_60\hnn\metrics.json
figure4,GEMM,thermal-only,ablation,B-2-v4-ablation,thermal-only,41,ga_seed,,baseline_normalized_v2,0.9699836211485028,9.352771451730218,6.000000000000001,3.3527714517302174,55.87952419550361,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\thermal-only\seed_41\gen_60\gemm\metrics.json
figure4,MPEG4,thermal-only,ablation,B-2-v4-ablation,thermal-only,41,ga_seed,,baseline_normalized_v2,1.2582094360103753,8.669609238395736,6.000000000000001,2.6696092383957355,44.49348730659559,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\thermal-only\seed_41\gen_60\mpeg4\metrics.json
figure4,VOPD,thermal-only,ablation,B-2-v4-ablation,thermal-only,41,ga_seed,,baseline_normalized_v2,1.6075746714532753,6.967395216466712,5.0,1.967395216466712,39.34790432933424,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\thermal-only\seed_41\gen_60\vopd\metrics.json
figure4,HNN,thermal-only,ablation,B-2-v4-ablation,thermal-only,41,ga_seed,,baseline_normalized_v2,1.309534712268094,9.533833089154777,6.000000000000001,3.5338330891547765,58.8972181525796,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\thermal-only\seed_41\gen_60\hnn\metrics.json
