sample_id,sample_seed,valid_for_cost,failure_reason,mapping_csv,TR2_composite_cost,T1_pe_peak_temp_K,T3_temp_std_K,T5_over_throttle_count,P1_makespan_s,P3_dvfs_penalty_pct,C1_total_comm_cost,raw_congestion_cost,raw_load_imbalance,E7_pe_optical_comm_energy_J,run_ok,temperature_source,parsed_pe_count,assignment
20,20,True,,hnn\random\mappings\sample_020_seed_20.csv,6.7810088267433,330.38841504087,1.8902297088455646,13,0.000270625248,7.607141806919625,2080768.0,262144.0,0.7315296566077003,0.0048595629601926515,True,vec,16,"{""1"": 4, ""2"": 8, ""3"": 3, ""4"": 10, ""5"": 5, ""6"": 0, ""7"": 13, ""8"": 13, ""9"": 2, ""10"": 3, ""11"": 4, ""12"": 10, ""13"": 15, ""14"": 14, ""15"": 13, ""16"": 6, ""17"": 6, ""18"": 10, ""19"": 10, ""20"": 10, ""21"": 13, ""22"": 2, ""23"": 15, ""24"": 12, ""25"": 2, ""26"": 6, ""27"": 7, ""28"": 1, ""29"": 2, ""30"": 6, ""31"": 6, ""32"": 3}"
21,21,True,,hnn\random\mappings\sample_021_seed_21.csv,6.4112939955390695,331.63595922945,1.9924535811742747,11,0.000238503,9.328487391823643,2588672.0,212992.0,0.4214360041623309,0.00483057993627399,True,vec,16,"{""1"": 5, ""2"": 13, ""3"": 13, ""4"": 9, ""5"": 15, ""6"": 6, ""7"": 15, ""8"": 5, ""9"": 7, ""10"": 0, ""11"": 0, ""12"": 11, ""13"": 13, ""14"": 2, ""15"": 4, ""16"": 7, ""17"": 7, ""18"": 1, ""19"": 13, ""20"": 13, ""21"": 14, ""22"": 1, ""23"": 10, ""24"": 15, ""25"": 3, ""26"": 11, ""27"": 0, ""28"": 4, ""29"": 0, ""30"": 14, ""31"": 2, ""32"": 3}"
22,22,True,,hnn\random\mappings\sample_022_seed_22.csv,6.997607923487304,331.18005858687,2.0686864232196407,14,0.0002460407,11.749969080354143,1794048.0,319488.0,0.4797086368366285,0.004880148249829941,True,vec,16,"{""1"": 4, ""2"": 7, ""3"": 0, ""4"": 14, ""5"": 5, ""6"": 3, ""7"": 11, ""8"": 2, ""9"": 7, ""10"": 8, ""11"": 1, ""12"": 10, ""13"": 5, ""14"": 13, ""15"": 1, ""16"": 0, ""17"": 8, ""18"": 9, ""19"": 13, ""20"": 6, ""21"": 5, ""22"": 3, ""23"": 1, ""24"": 10, ""25"": 10, ""26"": 8, ""27"": 5, ""28"": 12, ""29"": 8, ""30"": 8, ""31"": 9, ""32"": 4}"
23,23,True,,hnn\random\mappings\sample_023_seed_23.csv,6.832338872984866,332.08359043118,2.13889875256911,15,0.000229346829,17.514368614492955,2121728.0,221184.0,0.3756503642039542,0.004922991167475752,True,vec,16,"{""1"": 9, ""2"": 2, ""3"": 0, ""4"": 9, ""5"": 13, ""6"": 12, ""7"": 11, ""8"": 4, ""9"": 6, ""10"": 8, ""11"": 14, ""12"": 0, ""13"": 7, ""14"": 14, ""15"": 0, ""16"": 3, ""17"": 2, ""18"": 15, ""19"": 13, ""20"": 0, ""21"": 13, ""22"": 11, ""23"": 1, ""24"": 6, ""25"": 1, ""26"": 11, ""27"": 5, ""28"": 6, ""29"": 9, ""30"": 10, ""31"": 11, ""32"": 11}"
24,24,True,,hnn\random\mappings\sample_024_seed_24.csv,6.071519553746008,330.95652167596,1.9579287391288522,13,0.000221457025,9.567526755500731,1695744.0,188416.0,0.47762747138397504,0.004697105766440985,True,vec,16,"{""1"": 12, ""2"": 5, ""3"": 6, ""4"": 5, ""5"": 6, ""6"": 5, ""7"": 2, ""8"": 4, ""9"": 9, ""10"": 0, ""11"": 14, ""12"": 14, ""13"": 3, ""14"": 0, ""15"": 5, ""16"": 15, ""17"": 14, ""18"": 9, ""19"": 15, ""20"": 2, ""21"": 8, ""22"": 5, ""23"": 10, ""24"": 9, ""25"": 2, ""26"": 11, ""27"": 1, ""28"": 6, ""29"": 2, ""30"": 9, ""31"": 10, ""32"": 10}"
25,25,True,,hnn\random\mappings\sample_025_seed_25.csv,6.36401082216991,331.52963685932,2.08326859535332,11,0.0002482668,9.407000170167532,2203648.0,204800.0,0.37148803329864727,0.004861614272776717,True,vec,16,"{""1"": 12, ""2"": 0, ""3"": 6, ""4"": 9, ""5"": 15, ""6"": 1, ""7"": 8, ""8"": 1, ""9"": 9, ""10"": 13, ""11"": 3, ""12"": 3, ""13"": 6, ""14"": 10, ""15"": 5, ""16"": 11, ""17"": 15, ""18"": 3, ""19"": 3, ""20"": 11, ""21"": 13, ""22"": 11, ""23"": 6, ""24"": 5, ""25"": 14, ""26"": 2, ""27"": 2, ""28"": 12, ""29"": 1, ""30"": 5, ""31"": 2, ""32"": 4}"
26,26,True,,hnn\random\mappings\sample_026_seed_26.csv,7.034587248564477,330.96286060298,1.669081904520849,13,0.0003055069,10.679773026728448,2514944.0,270336.0,0.46930280957336107,0.005162817198205373,True,vec,16,"{""1"": 6, ""2"": 6, ""3"": 13, ""4"": 1, ""5"": 4, ""6"": 15, ""7"": 1, ""8"": 5, ""9"": 13, ""10"": 7, ""11"": 13, ""12"": 6, ""13"": 0, ""14"": 7, ""15"": 4, ""16"": 4, ""17"": 6, ""18"": 15, ""19"": 12, ""20"": 11, ""21"": 7, ""22"": 0, ""23"": 0, ""24"": 9, ""25"": 3, ""26"": 1, ""27"": 0, ""28"": 14, ""29"": 13, ""30"": 13, ""31"": 10, ""32"": 10}"
27,27,True,,hnn\random\mappings\sample_027_seed_27.csv,6.263853764218356,331.51646247205,1.8593418681401706,13,0.000244705,11.420793717347737,2342912.0,180224.0,0.29448491155046824,0.00482943323817316,True,vec,16,"{""1"": 15, ""2"": 8, ""3"": 9, ""4"": 6, ""5"": 2, ""6"": 2, ""7"": 8, ""8"": 10, ""9"": 8, ""10"": 11, ""11"": 12, ""12"": 5, ""13"": 7, ""14"": 7, ""15"": 15, ""16"": 2, ""17"": 2, ""18"": 13, ""19"": 13, ""20"": 1, ""21"": 14, ""22"": 11, ""23"": 0, ""24"": 15, ""25"": 8, ""26"": 4, ""27"": 10, ""28"": 7, ""29"": 12, ""30"": 9, ""31"": 4, ""32"": 3}"
28,28,True,,hnn\random\mappings\sample_028_seed_28.csv,6.719401099672401,331.25812789606,1.7884819876983005,12,0.0002766907,8.69415351934768,1835008.0,245760.0,0.6774193548387096,0.0049664199991274255,True,vec,16,"{""1"": 3, ""2"": 4, ""3"": 5, ""4"": 7, ""5"": 4, ""6"": 14, ""7"": 13, ""8"": 6, ""9"": 6, ""10"": 4, ""11"": 12, ""12"": 5, ""13"": 4, ""14"": 6, ""15"": 6, ""16"": 0, ""17"": 13, ""18"": 7, ""19"": 2, ""20"": 3, ""21"": 13, ""22"": 10, ""23"": 4, ""24"": 5, ""25"": 8, ""26"": 7, ""27"": 14, ""28"": 4, ""29"": 9, ""30"": 8, ""31"": 6, ""32"": 0}"
29,29,True,,hnn\random\mappings\sample_029_seed_29.csv,6.794706044268701,332.20118643767,1.8964081470294452,15,0.000297211949,12.750908686565168,1941504.0,155648.0,0.5338189386056191,0.005189959679638444,True,vec,16,"{""1"": 2, ""2"": 11, ""3"": 9, ""4"": 2, ""5"": 11, ""6"": 12, ""7"": 13, ""8"": 0, ""9"": 1, ""10"": 3, ""11"": 14, ""12"": 7, ""13"": 11, ""14"": 2, ""15"": 15, ""16"": 10, ""17"": 13, ""18"": 6, ""19"": 14, ""20"": 5, ""21"": 7, ""22"": 13, ""23"": 13, ""24"": 6, ""25"": 13, ""26"": 9, ""27"": 8, ""28"": 7, ""29"": 4, ""30"": 9, ""31"": 13, ""32"": 15}"
