workload,method,method_family,source_root,ablation,seed,selection_policy,run_ok,valid_for_cost,T_max_valid,makespan_valid,energy_valid,history_rows,history_schema,history_all_best_fitness_infinite,history_best_inf_gens,history_avg_inf_gens,history_worst_inf_gens,valid,validity_notes,metrics_path,history_path
GEMM,Full-GA,proposed,B-2-v4,,45,,True,True,True,True,True,53,ga,False,0,0,0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_45\gen_60\gemm\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_45\gen_60\gemm\history.json
MPEG4,ReferenceMapping,reference_mapping,B-2-v4,,45,,True,True,True,True,True,46,ga,False,0,0,0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_45\gen_60\mpeg4\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_45\gen_60\mpeg4\history.json
MPEG4,Full-GA,proposed,B-2-v4,,45,,True,True,True,True,True,46,ga,False,0,0,0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_45\gen_60\mpeg4\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_45\gen_60\mpeg4\history.json
VOPD,ReferenceMapping,reference_mapping,B-2-v4,,45,,True,True,True,True,True,39,ga,False,0,30,30,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_45\gen_60\vopd\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_45\gen_60\vopd\history.json
VOPD,Full-GA,proposed,B-2-v4,,45,,True,True,True,True,True,39,ga,False,0,30,30,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_45\gen_60\vopd\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_45\gen_60\vopd\history.json
HNN,ReferenceMapping,reference_mapping,B-2-v4,,45,,True,True,True,True,True,27,ga,False,0,0,0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_45\gen_60\hnn\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_45\gen_60\hnn\history.json
HNN,Full-GA,proposed,B-2-v4,,45,,True,True,True,True,True,27,ga,False,0,0,0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_45\gen_60\hnn\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_45\gen_60\hnn\history.json
GEMM,ReferenceMapping,reference_mapping,B-2-v4,,46,,True,True,True,True,True,51,ga,False,0,0,0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_46\gen_60\gemm\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_46\gen_60\gemm\history.json
GEMM,Full-GA,proposed,B-2-v4,,46,,True,True,True,True,True,51,ga,False,0,0,0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_46\gen_60\gemm\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_46\gen_60\gemm\history.json
MPEG4,ReferenceMapping,reference_mapping,B-2-v4,,46,,True,True,True,True,True,35,ga,False,0,0,0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_46\gen_60\mpeg4\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_46\gen_60\mpeg4\history.json
MPEG4,Full-GA,proposed,B-2-v4,,46,,True,True,True,True,True,35,ga,False,0,0,0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_46\gen_60\mpeg4\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_46\gen_60\mpeg4\history.json
VOPD,ReferenceMapping,reference_mapping,B-2-v4,,46,,True,True,True,True,True,27,ga,False,0,21,21,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_46\gen_60\vopd\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_46\gen_60\vopd\history.json
VOPD,Full-GA,proposed,B-2-v4,,46,,True,True,True,True,True,27,ga,False,0,21,21,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_46\gen_60\vopd\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_46\gen_60\vopd\history.json
HNN,ReferenceMapping,reference_mapping,B-2-v4,,46,,True,True,True,True,True,60,ga,False,0,0,0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_46\gen_60\hnn\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_46\gen_60\hnn\history.json
HNN,Full-GA,proposed,B-2-v4,,46,,True,True,True,True,True,60,ga,False,0,0,0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_46\gen_60\hnn\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_46\gen_60\hnn\history.json
GEMM,ReferenceMapping,reference_mapping,B-2-v4,,47,,True,True,True,True,True,55,ga,False,0,0,0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_47\gen_60\gemm\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_47\gen_60\gemm\history.json
GEMM,Full-GA,proposed,B-2-v4,,47,,True,True,True,True,True,55,ga,False,0,0,0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_47\gen_60\gemm\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_47\gen_60\gemm\history.json
MPEG4,ReferenceMapping,reference_mapping,B-2-v4,,47,,True,True,True,True,True,58,ga,False,0,0,0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_47\gen_60\mpeg4\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_47\gen_60\mpeg4\history.json
MPEG4,Full-GA,proposed,B-2-v4,,47,,True,True,True,True,True,58,ga,False,0,0,0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_47\gen_60\mpeg4\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_47\gen_60\mpeg4\history.json
VOPD,ReferenceMapping,reference_mapping,B-2-v4,,47,,True,True,True,True,True,50,ga,False,0,41,41,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_47\gen_60\vopd\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_47\gen_60\vopd\history.json
VOPD,Full-GA,proposed,B-2-v4,,47,,True,True,True,True,True,50,ga,False,0,41,41,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_47\gen_60\vopd\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_47\gen_60\vopd\history.json
HNN,ReferenceMapping,reference_mapping,B-2-v4,,47,,True,True,True,True,True,28,ga,False,0,0,0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_47\gen_60\hnn\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_47\gen_60\hnn\history.json
HNN,Full-GA,proposed,B-2-v4,,47,,True,True,True,True,True,28,ga,False,0,0,0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_47\gen_60\hnn\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_47\gen_60\hnn\history.json
GEMM,ReferenceMapping,reference_mapping,B-2-v4,,48,,True,True,True,True,True,60,ga,False,0,0,0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_48\gen_60\gemm\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_48\gen_60\gemm\history.json
GEMM,Full-GA,proposed,B-2-v4,,48,,True,True,True,True,True,60,ga,False,0,0,0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_48\gen_60\gemm\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_48\gen_60\gemm\history.json
MPEG4,ReferenceMapping,reference_mapping,B-2-v4,,48,,True,True,True,True,True,26,ga,False,0,0,0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_48\gen_60\mpeg4\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_48\gen_60\mpeg4\history.json
MPEG4,Full-GA,proposed,B-2-v4,,48,,True,True,True,True,True,26,ga,False,0,0,0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_48\gen_60\mpeg4\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_48\gen_60\mpeg4\history.json
VOPD,ReferenceMapping,reference_mapping,B-2-v4,,48,,True,True,True,True,True,48,ga,False,0,27,27,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_48\gen_60\vopd\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_48\gen_60\vopd\history.json
VOPD,Full-GA,proposed,B-2-v4,,48,,True,True,True,True,True,48,ga,False,0,27,27,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_48\gen_60\vopd\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_48\gen_60\vopd\history.json
HNN,ReferenceMapping,reference_mapping,B-2-v4,,48,,True,True,True,True,True,46,ga,False,0,0,0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_48\gen_60\hnn\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_48\gen_60\hnn\history.json
HNN,Full-GA,proposed,B-2-v4,,48,,True,True,True,True,True,46,ga,False,0,0,0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_48\gen_60\hnn\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_48\gen_60\hnn\history.json
GEMM,ReferenceMapping,reference_mapping,B-2-v4,,49,,True,True,True,True,True,60,ga,False,0,0,0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_49\gen_60\gemm\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_49\gen_60\gemm\history.json
GEMM,Full-GA,proposed,B-2-v4,,49,,True,True,True,True,True,60,ga,False,0,0,0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_49\gen_60\gemm\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_49\gen_60\gemm\history.json
MPEG4,ReferenceMapping,reference_mapping,B-2-v4,,49,,True,True,True,True,True,31,ga,False,0,0,0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_49\gen_60\mpeg4\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_49\gen_60\mpeg4\history.json
MPEG4,Full-GA,proposed,B-2-v4,,49,,True,True,True,True,True,31,ga,False,0,0,0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_49\gen_60\mpeg4\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_49\gen_60\mpeg4\history.json
VOPD,ReferenceMapping,reference_mapping,B-2-v4,,49,,True,True,True,True,True,48,ga,False,0,23,23,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_49\gen_60\vopd\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_49\gen_60\vopd\history.json
VOPD,Full-GA,proposed,B-2-v4,,49,,True,True,True,True,True,48,ga,False,0,23,23,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_49\gen_60\vopd\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_49\gen_60\vopd\history.json
HNN,ReferenceMapping,reference_mapping,B-2-v4,,49,,True,True,True,True,True,28,ga,False,0,0,0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_49\gen_60\hnn\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_49\gen_60\hnn\history.json
HNN,Full-GA,proposed,B-2-v4,,49,,True,True,True,True,True,28,ga,False,0,0,0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_49\gen_60\hnn\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_49\gen_60\hnn\history.json
GEMM,thermal-only,ablation,B-2-v4-ablation,thermal-only,40,,True,True,True,True,True,37,ga,False,0,0,0,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\thermal-only\seed_40\gen_60\gemm\metrics.json,D:\HNOCS\out\experimental results\B-2-v4-ablation\thermal-only\seed_40\gen_60\gemm\history.json
MPEG4,thermal-only,ablation,B-2-v4-ablation,thermal-only,40,,True,True,True,True,True,37,ga,False,0,0,0,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\thermal-only\seed_40\gen_60\mpeg4\metrics.json,D:\HNOCS\out\experimental results\B-2-v4-ablation\thermal-only\seed_40\gen_60\mpeg4\history.json
VOPD,thermal-only,ablation,B-2-v4-ablation,thermal-only,40,,True,True,True,True,True,48,ga,False,0,47,47,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\thermal-only\seed_40\gen_60\vopd\metrics.json,D:\HNOCS\out\experimental results\B-2-v4-ablation\thermal-only\seed_40\gen_60\vopd\history.json
HNN,thermal-only,ablation,B-2-v4-ablation,thermal-only,40,,True,True,True,True,True,60,ga,False,0,0,0,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\thermal-only\seed_40\gen_60\hnn\metrics.json,D:\HNOCS\out\experimental results\B-2-v4-ablation\thermal-only\seed_40\gen_60\hnn\history.json
GEMM,thermal-only,ablation,B-2-v4-ablation,thermal-only,41,,True,True,True,True,True,33,ga,False,0,0,0,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\thermal-only\seed_41\gen_60\gemm\metrics.json,D:\HNOCS\out\experimental results\B-2-v4-ablation\thermal-only\seed_41\gen_60\gemm\history.json
MPEG4,thermal-only,ablation,B-2-v4-ablation,thermal-only,41,,True,True,True,True,True,53,ga,False,0,0,0,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\thermal-only\seed_41\gen_60\mpeg4\metrics.json,D:\HNOCS\out\experimental results\B-2-v4-ablation\thermal-only\seed_41\gen_60\mpeg4\history.json
VOPD,thermal-only,ablation,B-2-v4-ablation,thermal-only,41,,True,True,True,True,True,60,ga,False,0,58,58,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\thermal-only\seed_41\gen_60\vopd\metrics.json,D:\HNOCS\out\experimental results\B-2-v4-ablation\thermal-only\seed_41\gen_60\vopd\history.json
