figure,workload,method,seed,metric_group,metric_name,metric_label,unit,reference_method,reference_metric,method_metric,delta_vs_reference,relative_change_pct_vs_reference,full_objective_comparable_score,valid,validity_notes,metrics_path
figure3,VOPD,Full-GA,41,thermal_safety,sigma_T_K,sigma_T,K,ReferenceMapping,0.9870939912641029,0.9605899974885381,-0.026503993775564783,-2.6850526910434325,4.4290574560875555,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_41\gen_60\vopd\metrics.json
figure3,VOPD,Full-GA,41,thermal_safety,N_hot,N_hot,count,ReferenceMapping,0.0,0.0,0.0,,4.4290574560875555,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_41\gen_60\vopd\metrics.json
figure3,VOPD,Full-GA,41,performance,makespan_us,makespan,us,ReferenceMapping,89.3329,87.5467,-1.7861999999999938,-1.9994873109459022,4.4290574560875555,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_41\gen_60\vopd\metrics.json
figure3,VOPD,Full-GA,41,performance,DVFS_penalty_pct,DVFS,%,ReferenceMapping,0.0,0.0,0.0,,4.4290574560875555,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_41\gen_60\vopd\metrics.json
figure3,VOPD,Full-GA,41,communication_pressure,comm_cost,comm,byte-hop,ReferenceMapping,1396000.0,1154000.0,-242000.0,-17.335243553008596,4.4290574560875555,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_41\gen_60\vopd\metrics.json
figure3,VOPD,Full-GA,41,communication_pressure,congestion_proxy,congestion proxy,byte,ReferenceMapping,252000.0,86000.0,-166000.0,-65.87301587301587,4.4290574560875555,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_41\gen_60\vopd\metrics.json
figure3,VOPD,Full-GA,41,mapping_balance,load_imbalance,load imbalance,ratio,ReferenceMapping,0.35802469135802467,0.35802469135802467,0.0,0.0,4.4290574560875555,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_41\gen_60\vopd\metrics.json
figure3,VOPD,Full-GA,41,energy,total_PE_optical_energy_mJ,total energy,mJ,ReferenceMapping,0.7507385223064373,0.7396582987192672,-0.01108022358717009,-1.475909821855037,4.4290574560875555,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_41\gen_60\vopd\metrics.json
figure3,HNN,Full-GA,41,thermal_safety,T_max_C,T_max,C,ReferenceMapping,55.66757624162,56.17274395863001,0.5051677170100106,0.9074720889901355,5.17401394028756,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_41\gen_60\hnn\metrics.json
figure3,HNN,Full-GA,41,thermal_safety,sigma_T_K,sigma_T,K,ReferenceMapping,2.454372247071413,1.8383141988009524,-0.6160580482704605,-25.100432463150145,5.17401394028756,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_41\gen_60\hnn\metrics.json
figure3,HNN,Full-GA,41,thermal_safety,N_hot,N_hot,count,ReferenceMapping,16.0,11.0,-5.0,-31.25,5.17401394028756,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_41\gen_60\hnn\metrics.json
figure3,HNN,Full-GA,41,performance,makespan_us,makespan,us,ReferenceMapping,203.177525,197.7868,-5.390725000000003,-2.6532093055075867,5.17401394028756,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_41\gen_60\hnn\metrics.json
figure3,HNN,Full-GA,41,performance,DVFS_penalty_pct,DVFS,%,ReferenceMapping,11.14198573637825,6.241983128860769,-4.900002607517482,-43.97782157913844,5.17401394028756,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_41\gen_60\hnn\metrics.json
figure3,HNN,Full-GA,41,communication_pressure,comm_cost,comm,byte-hop,ReferenceMapping,2195456.0,1613824.0,-581632.0,-26.49253731343284,5.17401394028756,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_41\gen_60\hnn\metrics.json
figure3,HNN,Full-GA,41,communication_pressure,congestion_proxy,congestion proxy,byte,ReferenceMapping,163840.0,147456.0,-16384.0,-9.999999999999998,5.17401394028756,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_41\gen_60\hnn\metrics.json
figure3,HNN,Full-GA,41,mapping_balance,load_imbalance,load imbalance,ratio,ReferenceMapping,0.3028095733610822,0.25286160249739853,-0.04994797086368369,-16.49484536082475,5.17401394028756,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_41\gen_60\hnn\metrics.json
figure3,HNN,Full-GA,41,energy,total_PE_optical_energy_mJ,total energy,mJ,ReferenceMapping,4.651317011228462,4.482683210938695,-0.1686338002897676,-3.6255064938097936,5.17401394028756,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_41\gen_60\hnn\metrics.json
figure3,GEMM,Full-GA,42,thermal_safety,T_max_C,T_max,C,ReferenceMapping,54.93421735578005,53.23828532851002,-1.6959320272700324,-3.087205222723699,3.799907180912859,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_42\gen_60\gemm\metrics.json
