benchmark,sample_id,sample_seed,run_ok,valid_for_cost,failure_reason,TR2_composite_cost,T_max_C,makespan_s,total_PE_optical_energy_J,temperature_source,parsed_pe_count,mapping_csv,validity_notes
GEMM,71,71,True,True,,5.873703158576774,55.50742932015004,0.0001205848,0.0015575225295775875,vec,16,gemm\random\mappings\sample_071_seed_71.csv,
GEMM,72,72,True,True,,5.013349683515195,53.508790356160034,0.0001664848,0.0017820777097037107,vec,16,gemm\random\mappings\sample_072_seed_72.csv,
GEMM,73,73,True,True,,5.354562920238651,54.54417483682005,0.0001185686,0.001532989299707843,vec,16,gemm\random\mappings\sample_073_seed_73.csv,
GEMM,74,74,True,True,,4.880882569765007,53.954924413510014,0.0001169529,0.001519383039926503,vec,16,gemm\random\mappings\sample_074_seed_74.csv,
GEMM,75,75,True,True,,5.217596202170576,55.06582690246,0.000119821,0.0015535198724049046,vec,16,gemm\random\mappings\sample_075_seed_75.csv,
GEMM,76,76,True,True,,4.9822276771656915,53.96065391239,0.0001166946,0.0015170409960869396,vec,16,gemm\random\mappings\sample_076_seed_76.csv,
GEMM,77,77,True,True,,5.685665138788089,53.652072276540025,0.0001664848,0.0017835189537075194,vec,16,gemm\random\mappings\sample_077_seed_77.csv,
GEMM,78,78,True,True,,4.7038764820591314,53.51814850274002,0.0001169868,0.0015201624157690663,vec,16,gemm\random\mappings\sample_078_seed_78.csv,
GEMM,79,79,True,True,,5.18038121704818,53.742101672210026,0.0001167786,0.001518290126721087,vec,16,gemm\random\mappings\sample_079_seed_79.csv,
GEMM,80,80,True,True,,6.0259812767175305,54.309515955940014,0.000166955,0.0017890848014504696,vec,16,gemm\random\mappings\sample_080_seed_80.csv,
GEMM,81,81,True,True,,4.931465051559772,55.01340124662005,0.0001188169,0.0015373267284177119,vec,16,gemm\random\mappings\sample_081_seed_81.csv,
GEMM,82,82,True,True,,5.623197337675784,52.99434441476001,0.0001664907,0.0017820053394278234,vec,16,gemm\random\mappings\sample_082_seed_82.csv,
GEMM,83,83,True,True,,5.311154295125142,53.66103931312,0.0001465506,0.0016758699004145723,vec,16,gemm\random\mappings\sample_083_seed_83.csv,
