workload,generation,best_fitness,avg_fitness,worst_fitness,best_tmax_C,best_sigma_K,best_hot_pe,best_makespan_us,best_energy_mJ
GEMM,18,4.024100114504603,5.539507840120553,37.209025898360736,53.29958827394,1.936688133341285,0,115.9868,1.5156379887811664
GEMM,19,4.024100114504603,6.250381697587743,37.11020605728983,53.29958827394,1.936688133341285,0,115.9868,1.5156379887811664
GEMM,20,4.024100114504603,6.253233767201994,36.70601861537244,53.29958827394,1.936688133341285,0,115.9868,1.5156379887811664
GEMM,21,4.008714510363217,5.543686028231457,36.5561984126781,53.29955118211001,1.9204070640163078,0,115.8908,1.515005503619302
GEMM,22,4.008714510363217,8.065539501040414,36.9365695695738,53.29955118211001,1.9204070640163078,0,115.8908,1.515005503619302
GEMM,23,4.008714510363217,5.59111795204221,36.82144021341904,53.29955118211001,1.9204070640163078,0,115.8908,1.515005503619302
GEMM,24,4.008714510363217,4.937418355015768,36.490533834267296,53.29955118211001,1.9204070640163078,0,115.8908,1.515005503619302
GEMM,25,4.008714510363217,4.99797396062587,36.53069604978223,53.29955118211001,1.9204070640163078,0,115.8908,1.515005503619302
GEMM,26,4.008714510363217,4.882061722812427,36.50029852426867,53.29955118211001,1.9204070640163078,0,115.8908,1.515005503619302
GEMM,27,3.978109180252875,6.141286892334421,36.55378535772984,53.11644905830002,1.8896223115871227,0,115.8908,1.5147747262947997
GEMM,28,3.978109180252875,7.390143650397435,36.843139780456724,53.11644905830002,1.8896223115871227,0,115.8908,1.5147747262947997
GEMM,29,3.978109180252875,6.151468993823041,36.6759694191487,53.11644905830002,1.8896223115871227,0,115.8908,1.5147747262947997
GEMM,30,3.978109180252875,7.579573278598382,37.065662782487934,53.11644905830002,1.8896223115871227,0,115.8908,1.5147747262947997
GEMM,31,3.978109180252875,6.867357105707905,36.79456653800647,53.11644905830002,1.8896223115871227,0,115.8908,1.5147747262947997
GEMM,32,3.978109180252875,4.929323029175879,36.725316749801664,53.11644905830002,1.8896223115871227,0,115.8908,1.5147747262947997
GEMM,33,3.9391662991601883,6.174474869267804,36.566392762532956,52.869480496920005,1.8556762582414101,0,116.0188,1.515279304940345
GEMM,34,3.9391662991601883,4.84694328220636,36.44915664311257,52.869480496920005,1.8556762582414101,0,116.0188,1.515279304940345
GEMM,35,3.9391662991601883,6.827432238463413,36.60808988730061,52.869480496920005,1.8556762582414101,0,116.0188,1.515279304940345
GEMM,36,3.9391662991601883,6.822997834851618,36.92193860899227,52.869480496920005,1.8556762582414101,0,116.0188,1.515279304940345
GEMM,37,3.9391662991601883,6.136481806907728,36.46003797594725,52.869480496920005,1.8556762582414101,0,116.0188,1.515279304940345
GEMM,38,3.9391662991601883,5.478118232550938,36.97906617053496,52.869480496920005,1.8556762582414101,0,116.0188,1.515279304940345
GEMM,39,3.9391662991601883,5.458871831310543,36.51849161425098,52.869480496920005,1.8556762582414101,0,116.0188,1.515279304940345
GEMM,40,3.9391662991601883,8.086455118102483,37.19675928188331,52.869480496920005,1.8556762582414101,0,116.0188,1.515279304940345
GEMM,41,3.9391662991601883,4.854006096974003,36.381382603951685,52.869480496920005,1.8556762582414101,0,116.0188,1.515279304940345
GEMM,42,3.9245147650431265,5.494791270800744,36.53329873285803,52.869480496920005,1.8399544103069623,0,115.9707,1.5147438491403677
GEMM,43,3.9245147650431265,5.50987228593058,36.569685431578996,52.869480496920005,1.8399544103069623,0,115.9707,1.5147438491403677
GEMM,44,3.9245147650431265,4.912271170104269,36.58400177735237,52.869480496920005,1.8399544103069623,0,115.9707,1.5147438491403677
GEMM,45,3.9245147650431265,6.131740759110175,36.472389926705056,52.869480496920005,1.8399544103069623,0,115.9707,1.5147438491403677
GEMM,46,3.9245147650431265,5.507628067685365,36.43323735906053,52.869480496920005,1.8399544103069623,0,115.9707,1.5147438491403677
GEMM,47,3.9245147650431265,5.512687828696056,36.52743616699196,52.869480496920005,1.8399544103069623,0,115.9707,1.5147438491403677
GEMM,48,3.9245147650431265,6.159583803484571,36.714473842910564,52.869480496920005,1.8399544103069623,0,115.9707,1.5147438491403677
GEMM,49,3.9245147650431265,8.719037559641349,36.63596707620019,52.869480496920005,1.8399544103069623,0,115.9707,1.5147438491403677
GEMM,50,3.9245147650431265,6.9275275717110265,36.81815552354792,52.869480496920005,1.8399544103069623,0,115.9707,1.5147438491403677
GEMM,51,3.9245147650431265,4.903505533454668,36.82868882742756,52.869480496920005,1.8399544103069623,0,115.9707,1.5147438491403677
GEMM,52,3.9245147650431265,7.485098447002667,37.074269762227985,52.869480496920005,1.8399544103069623,0,115.9707,1.5147438491403677
HNN,1,6.15497491655659,11.026007586222036,15.977402065397243,57.558833463260044,2.9399983671060856,12,228.5308,4.681626946967963
HNN,2,5.879581736948251,9.202409337898114,15.911576214811937,57.49688868930002,2.966941840181752,14,200.8186,4.603915074830459
HNN,3,5.780265259921687,9.215467702491823,15.909321073012315,56.259300224469996,2.790558589798642,13,208.0827,4.571049304249592
HNN,4,5.658904836507464,8.922121310034054,16.02264031909389,56.60016795556004,2.2056247032801455,6,249.3708,4.55500182936175
HNN,5,5.624188811229388,8.71368045016522,15.727984283064036,56.97641562268001,2.526518200413245,11,227.02679999999998,4.539692104633701
HNN,6,5.624188811229388,8.564261148429793,15.970644424291432,56.97641562268001,2.526518200413245,11,227.02679999999998,4.539692104633701
HNN,7,5.624188811229388,8.366674675819754,15.670990859315788,56.97641562268001,2.526518200413245,11,227.02679999999998,4.539692104633701
HNN,8,5.462523384195326,8.26589621446375,15.749154115871182,56.05203137373002,2.464370157399985,12,221.4747,4.481259866344722
HNN,9,5.462523384195326,7.71926060813448,15.684416847835482,56.05203137373002,2.464370157399985,12,221.4747,4.481259866344722
HNN,10,5.462523384195326,7.804234875378114,15.680265391245456,56.05203137373002,2.464370157399985,12,221.4747,4.481259866344722
HNN,11,5.403426565748798,8.134994334876609,15.805800428126233,55.23064381003002,2.232433316768829,6,261.3546,4.5899971046649535
HNN,12,5.403426565748798,6.855171569401466,15.349460276171538,55.23064381003002,2.232433316768829,6,261.3546,4.5899971046649535
HNN,13,5.403426565748798,7.230432812944231,15.799785985253116,55.23064381003002,2.232433316768829,6,261.3546,4.5899971046649535
HNN,14,5.403426565748798,7.15522542601202,15.603067597536352,55.23064381003002,2.232433316768829,6,261.3546,4.5899971046649535
HNN,15,5.403426565748798,7.182456626627495,15.750366487803236,55.23064381003002,2.232433316768829,6,261.3546,4.5899971046649535
HNN,16,5.403426565748798,8.407207478287946,15.787983681874488,55.23064381003002,2.232433316768829,6,261.3546,4.5899971046649535
HNN,17,5.325523368161896,7.850349619753513,15.53736857332285,55.07977432414003,2.137553479475935,6,261.5546,4.5801206458126895
HNN,18,5.325523368161896,7.505610721944388,15.786009347869966,55.07977432414003,2.137553479475935,6,261.5546,4.5801206458126895
HNN,19,5.325523368161896,7.441739640421658,15.145159913913295,55.07977432414003,2.137553479475935,6,261.5546,4.5801206458126895
HNN,20,5.325523368161896,7.512919288486702,15.882320290698528,55.07977432414003,2.137553479475935,6,261.5546,4.5801206458126895
HNN,21,5.325523368161896,7.227934958313878,15.516807919814612,55.07977432414003,2.137553479475935,6,261.5546,4.5801206458126895
HNN,22,5.325523368161896,7.267964740764773,15.387898857433056,55.07977432414003,2.137553479475935,6,261.5546,4.5801206458126895
HNN,23,5.325523368161896,8.558278977467172,15.706309870016094,55.07977432414003,2.137553479475935,6,261.5546,4.5801206458126895
