benchmark,seed,run_type,configured_generations,actual_generations,converged,elapsed_min,cost_baseline,cost_b2,cost_delta_pct,tmax_baseline_C,tmax_b2_C,tmax_delta_C,sigma_baseline_K,sigma_b2_K,sigma_delta_pct,hot_baseline,hot_b2,makespan_baseline_us,makespan_b2_us,makespan_delta_pct,comm_baseline,comm_b2,comm_delta_pct,pe_optical_energy_baseline_mJ,pe_optical_energy_b2_mJ,pe_optical_energy_delta_pct
VOPD,42,base,60,31,True,10.793553456664085,3.9000000000000004,3.7890723271486464,-2.8442993038808706,52.22271921261,52.25143694166002,0.02871772905001535,0.9870939912641029,0.9006331204779132,-8.759132519433665,0,0,89.3329,87.73689999999999,-1.786575830405157,1396000.0,1644000.0,17.765042979942702,0.7507385223064373,0.7419196493900795,-1.1746930061966587
VOPD,43,base,60,27,True,8.984130443322162,3.9000000000000004,3.705520336922757,-4.9866580276216155,52.22271921261,51.75501393950003,-0.4677052731099707,0.9870939912641029,0.886336807858129,-10.207455855033743,0,0,89.3329,87.74889999999999,-1.7731429294246648,1396000.0,1224000.0,-12.320916905444124,0.7507385223064373,0.7411701289901245,-1.274530749656566
VOPD,44,base,60,38,True,11.36626045832721,3.9000000000000004,3.6921062534531424,-5.330608885816868,52.22271921261,51.798065031180045,-0.4246541814299576,0.9870939912641029,0.864825322854445,-12.38673008768667,0,0,89.3329,87.8868,-1.618776508990527,1396000.0,1592000.0,14.04011461318051,0.7507385223064373,0.742019592018633,-1.1613804312342824
VOPD,45,base,60,33,True,10.383465196657927,3.9000000000000004,3.695453515678368,-5.244781649272623,52.22271921261,51.69379938658,-0.5289198260300054,0.9870939912641029,0.8873323172688201,-10.106603310139183,0,0,89.3329,87.5948,-1.9456437661824366,1396000.0,1358000.0,-2.7220630372492782,0.7507385223064373,0.740374258024386,-1.3805424890426576
VOPD,46,base,60,60,False,17.24035755499887,3.9000000000000004,3.6881476549750185,-5.432111410896967,52.22271921261,51.595847694320014,-0.6268715182899882,0.9870939912641029,0.8894374995118786,-9.893332612344485,0,0,89.3329,87.8309,-1.6813514393913098,1396000.0,1468000.0,5.157593123209159,0.7507385223064373,0.7418029632410791,-1.1902358544098934
VOPD,47,base,60,60,False,18.870691128338997,3.9000000000000004,3.7648796957273603,-3.4646231864779553,52.22271921261,52.23706233102001,0.014343118410010902,0.9870939912641029,0.8639965486044245,-12.470691114433386,0,0,89.3329,88.6068,-0.8128024501611208,1396000.0,1568000.0,12.320916905444124,0.7507385223064373,0.7467662186694275,-0.5291194628998186
VOPD,48,base,60,44,True,10.197004406666384,3.9000000000000004,3.649139319842242,-6.432325132250217,52.22271921261,51.55694680841003,-0.66577240419997,0.9870939912641029,0.8625320625333446,-12.619054500700633,0,0,89.3329,87.4927,-2.059935365358112,1396000.0,1212000.0,-13.180515759312318,0.7507385223064373,0.739066966886054,-1.5546765050134526
VOPD,49,base,60,32,True,7.418091370010128,3.9000000000000004,3.695987812313411,-5.231081735553578,52.22271921261,51.47467771639003,-0.7480414962199688,0.9870939912641029,0.9184297397684964,-6.956201952731266,0,0,89.3329,87.5429,-2.003741062923059,1396000.0,1490000.0,6.733524355300857,0.7507385223064373,0.7404722842312044,-1.3674851856133374
HNN,40,base,60,40,True,1.3700629466678946,4.9,4.065338025090228,-17.03391785530147,55.66757624162,55.49719880765002,-0.17037743396997485,2.454372247071413,1.5353741483809191,-37.44330550457672,16,6,203.177525,237.1187,16.705181835441675,2195456.0,2252800.0,2.6119402985074647,4.651317011228462,4.5060941784989605,-3.122187380024366
HNN,41,base,60,26,True,0.9155756883323193,4.9,4.268847253072718,-12.880668304638409,55.66757624162,55.27015909539,-0.3974171462299978,2.454372247071413,1.6954058394082623,-30.923035760722872,16,9,203.177525,237.0507,16.671713566744153,2195456.0,2236416.0,1.8656716417910557,4.651317011228462,4.485704659191439,-3.5605475102477024
HNN,42,base,60,32,True,1.1262537033297122,4.9,4.127127540628179,-15.772907334118791,55.66757624162,54.54537656535001,-1.122199676269986,2.454372247071413,1.653932741096803,-32.612799746644136,16,6,203.177525,233.8547,15.09870493796004,2195456.0,2048000.0,-6.716417910447758,4.651317011228462,4.443079469808885,-4.476958696147426
HNN,43,base,60,32,True,1.1327800716583927,4.9,4.205201748742246,-14.179556148117445,55.66757624162,54.76833552224002,-0.899240719379975,2.454372247071413,1.7557081312394036,-28.46610234717508,16,6,203.177525,236.4728,16.387282500857324,2195456.0,2072576.0,-5.597014925373134,4.651317011228462,4.442804701125539,-4.482866026967558
HNN,44,base,60,38,True,1.328891478323688,4.9,4.173725486698312,-14.821928842891596,55.66757624162,55.13075095892003,-0.5368252826999651,2.454372247071413,1.447055272648152,-41.041735850183436,16,10,203.177525,233.9049,15.123412395145564,2195456.0,2187264.0,-0.3731343283582045,4.651317011228462,4.488451808652552,-3.5014857551688428
HNN,45,base,60,37,True,1.3031098450068384,4.9,4.068953549076674,-16.960131651496447,55.66757624162,54.620640724340035,-1.0469355172799624,2.454372247071413,1.7204230431191594,-29.90374442295828,16,6,203.177525,244.62079999999997,20.39756857949715,2195456.0,2441216.0,11.194029850746269,4.651317011228462,4.480970019435746,-3.662338889856198
HNN,46,base,60,60,False,2.0430857500061395,4.9,4.12100542609113,-15.897848447119811,55.66757624162,56.34976151383,0.6821852722100061,2.454372247071413,1.6042914934880614,-34.63536366978066,16,10,203.177525,191.1467,-5.9213365257796085,2195456.0,2056192.0,-6.343283582089554,4.651317011228462,4.3704391756616365,-6.0386732378974735
HNN,47,base,60,60,False,2.100339764993017,4.9,3.96637961788968,-19.053477185924905,55.66757624162,54.505833082380036,-1.1617431592399612,2.454372247071413,1.5635325679080645,-36.29602967627707,16,5,203.177525,235.8608,16.08606808257951,2195456.0,1933312.0,-11.940298507462687,4.651317011228462,4.434641348262731,-4.658372294183943
HNN,48,base,60,35,True,1.2189361700012038,4.9,3.8900228552969307,-20.611778463327944,55.66757624162,54.49677140775003,-1.1708048338699655,2.454372247071413,1.5718520980686976,-35.95706193531763,16,3,203.177525,242.26860000000002,19.239861790815695,2195456.0,1982464.0,-9.701492537313428,4.651317011228462,4.464310166159457,-4.0205138591406175
HNN,49,base,60,51,True,1.7971760316596677,4.9,4.138058806141303,-15.54982028283055,55.66757624162,55.961260306730026,0.2936840651100283,2.454372247071413,1.6200941838744976,-33.991504923199244,16,10,203.177525,194.0608,-4.487073557963662,2195456.0,2351104.0,7.089552238805963,4.651317011228462,4.397628941036254,-5.4541126648601885
